"cluster","n_total","n_complete","n_missing_analysis","unique_x","design_rank","estimable_slope","x_mean","x_sd","x_min","x_max","x_range","out_mean","out_sd","out_median","out_iqr","out_min","out_max","out_range"
"308",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,342.13383,79.8217632591242,339.14585,140.00285,249.56,466.3535,216.7935
"309",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,215.23298,10.8121933245963,214.79605,15.60385,202.9778,237.3142,34.3364
"310",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,231.00127,21.8559964256977,233.5808,21.8214,194.3322,261.0125,66.6803
"330",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,303.22142,22.9091992517707,298.99285,29.734275,280.2396,354.0487,73.8091
"331",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,309.43605,27.2426073253012,297.78375,28.269875,285,371.5811,86.5811
"332",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,307.30207,64.3061256182929,309.8832,68.452325,234.8606,454.1619,219.3013
"333",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,316.15831,30.0682076621526,315.9181,45.505875,276.7693,362.0428,85.2735
"334",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,295.30205,41.8556073626475,281.6078,56.86825,243.3647,377.299,133.9343
"335",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,250.07004,13.8338524012013,248.4521,16.2628,235.311,273.9472,38.6362
"337",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,375.72101,59.6237890908663,378.78545,91.69935,291.6112,458.9167,167.3055
"349",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,275.83447,42.9379424046961,262.3482,59.595925,230.3167,351.6451,121.3284
"350",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,313.60268,63.360557731794,299.3206,119.085325,243.4543,394.4872,151.0329
"351",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,290.09775,28.9788107923032,284.16785,33.1123250000001,250.5265,347.5655,97.039
"352",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,337.42154,47.6023801012139,350.78445,27.05835,221.6771,388.5417,166.8646
"369",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,306.03464,37.4604293341417,306.47875,61.1566,257.2424,366.5131,109.2707
"370",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,291.70177,59.2082122493165,274.3427,107.4437,225.264,372.2288,146.9648
"371",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,294.98404,36.5059887349155,280.48,25.794125,259.2658,369.4692,110.2034
"372",10,10,0,10,2,TRUE,4.5,3.02765035409749,0,9,9,317.88613,35.8228043593913,320.1196,51.256725,269.4117,369.1417,99.73
