"check","passed","details"
"sharding_body_matches_legacy__definitive_save_rds_atomic",TRUE,
"sharding_body_matches_legacy__definitive_write_csv_atomic",TRUE,
"sharding_body_matches_legacy__definitive_make_replicate_seeds",TRUE,
"sharding_body_matches_legacy__definitive_make_shard_plan",TRUE,
"sharding_body_matches_legacy__definitive_shard_checkpoint_path",TRUE,
"sharding_body_matches_legacy__definitive_read_checkpoint",TRUE,
"sharding_body_matches_legacy__definitive_checkpoint_spec_matches",TRUE,
"sharding_body_matches_legacy__definitive_validate_complete_checkpoint",TRUE,
"sharding_body_matches_legacy__definitive_get_free_gb",TRUE,
"sharding_body_matches_legacy__definitive_disk_guard",TRUE,
"sharding_body_matches_legacy__definitive_offset_shard_replicates",TRUE,
"sharding_body_matches_legacy__definitive_run_study1_shard",TRUE,
"sharding_body_matches_legacy__definitive_run_study2_shard",TRUE,
"sharding_body_matches_legacy__definitive_run_shard_checkpoint",TRUE,
"sharding_body_matches_legacy__definitive_collect_condition_shards",TRUE,
"study3_body_matches_legacy__study3c_methods",TRUE,
"study3_body_matches_legacy__study3c_analysis_seed",TRUE,
"study3_body_matches_legacy__study3c_find_project_root",TRUE,
"study3_body_matches_legacy__study3c_verify_checksum_record",TRUE,
"study3_body_matches_legacy__study3c_prepare_analysis_data",TRUE,
"study3_body_matches_legacy__study3c_fit_full",TRUE,
"study3_body_matches_legacy__study3c_fit_loo_subject",TRUE,
"study3_body_matches_legacy__study3c_loo_path",TRUE,
"study3_body_matches_legacy__study3c_checkpoint_matches",TRUE,
"study3_body_matches_legacy__study3c_run_loo_checkpoint",TRUE,
"study3_body_matches_legacy__study3c_collect_loo",TRUE,
"study3_body_matches_legacy__study3c_make_comparison",TRUE,
"study3_body_matches_legacy__study3c_cross_dataset_plot",TRUE,
"study3_body_matches_legacy__study3c_loo_plot",TRUE,
"study3_body_matches_legacy__study3c_save_plot",TRUE,
"study3_body_matches_legacy__study3c_output_checksums",TRUE,
"freeze_verifier_still_checks_frozen_artifact_checksums",TRUE,
"freeze_verifier_original_source_check_is_explicitly_optional",TRUE,
"prepare_study3_empirical_is_exported",TRUE,
"run_study3_empirical_is_exported",TRUE,
"package_study3_runner_has_no_source_call",TRUE,
"package_study3_runner_reads_frozen_observed_data",TRUE,
"package_study3_runner_reads_frozen_perturbed_data",TRUE,
"package_study3_runner_cannot_resample_contamination",TRUE,
