"cluster","intercept_baseline","x_baseline","retained_before_truncation_baseline","intercept_observed","x_observed","retained_before_truncation_observed","contamination","dataset_id","engine","variant","intercept_absolute_difference","x_absolute_difference","retention_changed"
"1",-1.71505983716199,-0.0354966117759601,TRUE,-1.71505983716199,-0.0354966117759601,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"10",-1.11706166144008,0.375908323509488,TRUE,-1.11706166144008,0.375908323509488,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"2",-1.37391809182223,-0.13941405742807,TRUE,-1.37391809182223,-0.13941405742807,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"3",-1.38919587595103,-0.179727759127613,TRUE,-1.38919587595103,-0.179727759127613,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"4",-0.588207770653061,0.234957473179216,TRUE,-0.588207770653061,0.234957473179216,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"5",-0.103281155916344,0.0014790834994024,TRUE,-0.103281155916344,0.0014790834994024,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"6",0.323982472118521,-0.227943621688185,TRUE,0.323982472118521,-0.227943621688185,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"7",-0.741776826167533,-0.0437799783227538,TRUE,-0.741776826167533,-0.0437799783227538,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"8",-1.10877001936517,0.0982350889136791,TRUE,-1.10877001936517,0.0982350889136791,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"9",-1.45446971975967,-0.450397898871775,TRUE,-1.45446971975967,-0.450397898871775,TRUE,"none",1,"robust","exact_repeat",0,0,FALSE
"1",-1.71505983716199,-0.0354966117759601,TRUE,-1.71505983720961,-0.035496611788821,TRUE,"none",1,"robust","within_cluster_row_order",4.76167993923582e-11,1.28608720895151e-11,FALSE
"10",-1.11706166144008,0.375908323509488,TRUE,-1.11706166144008,0.375908323509489,TRUE,"none",1,"robust","within_cluster_row_order",0,5.55111512312578e-17,FALSE
"2",-1.37391809182223,-0.13941405742807,TRUE,-1.37391809030818,-0.139414056552634,TRUE,"none",1,"robust","within_cluster_row_order",1.51405621373613e-09,8.75435807179414e-10,FALSE
"3",-1.38919587595103,-0.179727759127613,TRUE,-1.38919626449495,-0.179727605238301,TRUE,"none",1,"robust","within_cluster_row_order",3.88543914597861e-07,1.53889312876077e-07,FALSE
"4",-0.588207770653061,0.234957473179216,TRUE,-0.58820861982414,0.234957245874092,TRUE,"none",1,"robust","within_cluster_row_order",8.49171079231326e-07,2.27305124139709e-07,FALSE
"5",-0.103281155916344,0.0014790834994024,TRUE,-0.103281050584341,0.00147901676713247,TRUE,"none",1,"robust","within_cluster_row_order",1.05332003064174e-07,6.67322699325797e-08,FALSE
"6",0.323982472118521,-0.227943621688185,TRUE,0.323982520015726,-0.227943659564352,TRUE,"none",1,"robust","within_cluster_row_order",4.78972053685744e-08,3.7876167258144e-08,FALSE
"7",-0.741776826167533,-0.0437799783227538,TRUE,-0.741776686559349,-0.0437800158758694,TRUE,"none",1,"robust","within_cluster_row_order",1.39608184457352e-07,3.75531155893949e-08,FALSE
"8",-1.10877001936517,0.0982350889136791,TRUE,-1.10877001932502,0.0982350888203346,TRUE,"none",1,"robust","within_cluster_row_order",4.01567668006919e-11,9.33444849193776e-11,FALSE
"9",-1.45446971975967,-0.450397898871775,TRUE,-1.45446164882904,-0.450399888073168,TRUE,"none",1,"robust","within_cluster_row_order",8.07093063004416e-06,1.98920139260483e-06,FALSE
"1",-1.71505983716199,-0.0354966117759601,TRUE,-1.71505983716199,-0.0354966117759601,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"10",-1.11706166144008,0.375908323509488,TRUE,-1.11706166144008,0.375908323509488,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"2",-1.37391809182223,-0.13941405742807,TRUE,-1.37391809182223,-0.13941405742807,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"3",-1.38919587595103,-0.179727759127613,TRUE,-1.38919587595103,-0.179727759127613,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"4",-0.588207770653061,0.234957473179216,TRUE,-0.588207770653061,0.234957473179216,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"5",-0.103281155916344,0.0014790834994024,TRUE,-0.103281155916344,0.0014790834994024,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"6",0.323982472118521,-0.227943621688185,TRUE,0.323982472118521,-0.227943621688185,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"7",-0.741776826167533,-0.0437799783227538,TRUE,-0.741776826167533,-0.0437799783227538,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"8",-1.10877001936517,0.0982350889136791,TRUE,-1.10877001936517,0.0982350889136791,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"9",-1.45446971975967,-0.450397898871775,TRUE,-1.45446971975967,-0.450397898871775,TRUE,"none",1,"robust","cluster_block_order",0,0,FALSE
"1",-1.71505983716199,-0.0354966117759601,TRUE,-1.71505983755516,-0.0354966118821532,TRUE,"none",1,"robust","global_row_order",3.9316883082563e-10,1.06193082105577e-10,FALSE
"10",-1.11706166144008,0.375908323509488,TRUE,-1.11706166144008,0.375908323509488,TRUE,"none",1,"robust","global_row_order",0,5.55111512312578e-17,FALSE
"2",-1.37391809182223,-0.13941405742807,TRUE,-1.37391800086025,-0.139414004833334,TRUE,"none",1,"robust","global_row_order",9.09619850553156e-08,5.25947358442913e-08,FALSE
"3",-1.38919587595103,-0.179727759127613,TRUE,-1.38919620284956,-0.179727629653977,TRUE,"none",1,"robust","global_row_order",3.26898529134922e-07,1.29473636756305e-07,FALSE
"4",-0.588207770653061,0.234957473179216,TRUE,-0.588207710656088,0.234957489238973,TRUE,"none",1,"robust","global_row_order",5.99969723902305e-08,1.60597574405674e-08,FALSE
"5",-0.103281155916344,0.0014790834994024,TRUE,-0.103281215268061,0.00147912110070596,TRUE,"none",1,"robust","global_row_order",5.93517174574121e-08,3.76013035623211e-08,FALSE
"6",0.323982472118521,-0.227943621688185,TRUE,0.323982420924818,-0.227943581205213,TRUE,"none",1,"robust","global_row_order",5.11937025549081e-08,4.04829723354982e-08,FALSE
"7",-0.741776826167533,-0.0437799783227538,TRUE,-0.74177688428685,-0.0437799626892764,TRUE,"none",1,"robust","global_row_order",5.81193161375282e-08,1.56334773945832e-08,FALSE
"8",-1.10877001936517,0.0982350889136791,TRUE,-1.10877001774835,0.0982350851553829,TRUE,"none",1,"robust","global_row_order",1.61682645050121e-09,3.75829618814993e-09,FALSE
"9",-1.45446971975967,-0.450397898871775,TRUE,-1.45447020571107,-0.45039777898712,TRUE,"none",1,"robust","global_row_order",4.85951400230888e-07,1.19884654647961e-07,FALSE
"1",-1.73435448810957,0.0128060091011391,TRUE,-1.73435448810957,0.0128060091011391,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"10",-1.12297869365524,0.379581494530374,TRUE,-1.12297869365524,0.379581494530374,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"2",-1.36143841958342,-0.124090623860287,TRUE,-1.36143841958342,-0.124090623860287,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"3",-1.37272939597792,-0.225935874279998,TRUE,-1.37272939597792,-0.225935874279998,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"4",-0.612894338941356,0.217609923441691,TRUE,-0.612894338941356,0.217609923441691,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"5",-0.137458046825527,-0.008224082176216,TRUE,-0.137458046825527,-0.008224082176216,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"6",0.3238553291067,-0.228741555695706,TRUE,0.3238553291067,-0.228741555695706,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"7",-0.776551199341538,-0.0153314120002824,TRUE,-0.776551199341538,-0.0153314120002824,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"8",-1.1259861175461,0.103539106127108,TRUE,-1.1259861175461,0.103539106127108,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"9",-1.53629403273157,-0.229990413487965,TRUE,-1.53629403273157,-0.229990413487965,TRUE,"none",1,"robustbase","exact_repeat",0,0,FALSE
"1",-1.73435448810957,0.0128060091011391,TRUE,-1.73435448810957,0.0128060091011391,TRUE,"none",1,"robustbase","within_cluster_row_order",2.22044604925031e-16,4.16333634234434e-17,FALSE
"10",-1.12297869365524,0.379581494530374,TRUE,-1.12297869365525,0.379581494530378,TRUE,"none",1,"robustbase","within_cluster_row_order",3.5527136788005e-15,4.71844785465692e-15,FALSE
"2",-1.36143841958342,-0.124090623860287,TRUE,-1.36143841959393,-0.124090623862162,TRUE,"none",1,"robustbase","within_cluster_row_order",1.0511591597151e-11,1.87473647716985e-12,FALSE
"3",-1.37272939597792,-0.225935874279998,TRUE,-1.37272940077234,-0.225935878521177,TRUE,"none",1,"robustbase","within_cluster_row_order",4.7944199721428e-09,4.24117924113787e-09,FALSE
"4",-0.612894338941356,0.217609923441691,TRUE,-0.612894338505181,0.217609923650845,TRUE,"none",1,"robustbase","within_cluster_row_order",4.3617442990751e-10,2.09153583341504e-10,FALSE
"5",-0.137458046825527,-0.008224082176216,TRUE,-0.137458046824439,-0.00822408218749615,TRUE,"none",1,"robustbase","within_cluster_row_order",1.08804631970827e-12,1.12801556290121e-11,FALSE
"6",0.3238553291067,-0.228741555695706,TRUE,0.323855329106028,-0.2287415556952,TRUE,"none",1,"robustbase","within_cluster_row_order",6.71518396444526e-13,5.06095165775378e-13,FALSE
"7",-0.776551199341538,-0.0153314120002824,TRUE,-0.776551199341537,-0.0153314120002824,TRUE,"none",1,"robustbase","within_cluster_row_order",6.66133814775094e-16,5.03069808033274e-17,FALSE
