"contamination","dataset_id","engine","variant","baseline_success","observed_success","baseline_error","observed_error","baseline_warning","observed_warning","baseline_message","observed_message","df_difference","retained_cluster_difference","rejection_changed","ci_decision_changed","all_quantities_equivalent","max_absolute_difference"
"none",1,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",1,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.51293324412993e-06
"none",1,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",1,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,3.20856493152277e-07
"none",1,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",1,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,7.73224073657985e-09
"none",1,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.69409751782368e-08
"none",1,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.92229199225125e-09
"none",2,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",2,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,4.5740554650564e-06
"none",2,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",2,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,7.1578652591775e-06
"none",2,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",2,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,6.49635678584559e-10
"none",2,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,6.55738574550924e-10
"none",2,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,9.86373871469937e-10
"none",3,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",3,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.79618319240404e-06
"none",3,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",3,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.84769989641786e-06
"none",3,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"none",3,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,2.89512369633371e-09
"none",3,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,8.20344681073948e-10
"none",3,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.58671686900647e-09
