"contamination","engine","variant","datasets","successful_pairs","all_quantities_equivalent_rate","maximum_output_difference","maximum_cluster_intercept_difference","maximum_cluster_slope_difference","retained_cluster_changes","rejection_changes","ci_decision_changes","fit_failures"
"bad_leverage","robust","cluster_block_order",5,5,100,0,0,0,0,0,0,0
"none","robust","cluster_block_order",5,5,100,0,0,0,0,0,0,0
"vertical","robust","cluster_block_order",5,5,100,0,0,0,0,0,0,0
"bad_leverage","robustbase","cluster_block_order",5,5,100,8.41494560255285e-07,5.55761994397441e-07,5.35522937328281e-07,0,0,0,0
"none","robustbase","cluster_block_order",5,5,100,2.16229494309772e-08,2.5052063756803e-08,1.56793054807008e-08,0,0,0,0
"vertical","robustbase","cluster_block_order",5,5,100,7.26857148913851e-08,2.06849748551896e-07,6.67789853258521e-08,0,0,0,0
"bad_leverage","robust","exact_repeat",5,5,100,0,0,0,0,0,0,0
"none","robust","exact_repeat",5,5,100,0,0,0,0,0,0,0
"vertical","robust","exact_repeat",5,5,100,0,0,0,0,0,0,0
"bad_leverage","robustbase","exact_repeat",5,5,100,0,0,0,0,0,0,0
"none","robustbase","exact_repeat",5,5,100,0,0,0,0,0,0,0
"vertical","robustbase","exact_repeat",5,5,100,0,0,0,0,0,0,0
"bad_leverage","robust","global_row_order",5,5,80,8.18713158421969e-05,0.000105367895831543,8.02234011561542e-05,0,0,0,0
"none","robust","global_row_order",5,5,100,7.1578652591775e-06,1.22742241259743e-05,8.10339162071738e-06,0,0,0,0
"vertical","robust","global_row_order",5,5,100,4.85245403414325e-07,8.53973988079737e-07,5.87324343021001e-07,0,0,0,0
"bad_leverage","robustbase","global_row_order",5,5,100,8.43815020745708e-07,5.55761994452952e-07,5.35522937328281e-07,0,0,0,0
"none","robustbase","global_row_order",5,5,100,2.14446487234454e-08,2.5052063756803e-08,1.56793056962402e-08,0,0,0,0
"vertical","robustbase","global_row_order",5,5,100,8.38615830112133e-08,2.1964463969848e-07,7.09096638334267e-08,0,0,0,0
"bad_leverage","robust","within_cluster_row_order",5,5,100,4.4179629144353e-06,7.50082699174648e-06,1.31901291905434e-05,0,0,0,0
"none","robust","within_cluster_row_order",5,5,100,4.5740554650564e-06,8.07093063004416e-06,2.78593706545816e-06,0,0,0,0
"vertical","robust","within_cluster_row_order",5,5,100,6.10907763709534e-07,1.34846920762932e-06,9.36754685737506e-07,0,0,0,0
"bad_leverage","robustbase","within_cluster_row_order",5,5,100,5.17195589688768e-08,6.43809228151326e-08,4.174430533882e-08,0,0,0,0
"none","robustbase","within_cluster_row_order",5,5,100,1.84332711317126e-08,1.31564616978608e-08,2.41462724259733e-08,0,0,0,0
"vertical","robustbase","within_cluster_row_order",5,5,100,8.2624975195067e-08,2.23768238383215e-07,7.22409191598883e-08,0,0,0,0
