"n_clusters","retained_clusters","coefficient_variance","inferred_clusters","passed"
5,2,1e-08,2,TRUE
5,2,0.01,2,TRUE
5,2,0.49,2,TRUE
5,2,10,2,TRUE
5,3,1e-08,3,TRUE
5,3,0.01,3,TRUE
5,3,0.49,3,TRUE
5,3,10,3,TRUE
5,4,1e-08,4,TRUE
5,4,0.01,4,TRUE
5,4,0.49,4,TRUE
5,4,10,4,TRUE
5,5,1e-08,5,TRUE
5,5,0.01,5,TRUE
5,5,0.49,5,TRUE
5,5,10,5,TRUE
10,2,1e-08,2,TRUE
10,2,0.01,2,TRUE
10,2,0.49,2,TRUE
10,2,10,2,TRUE
10,3,1e-08,3,TRUE
10,3,0.01,3,TRUE
10,3,0.49,3,TRUE
10,3,10,3,TRUE
10,4,1e-08,4,TRUE
10,4,0.01,4,TRUE
10,4,0.49,4,TRUE
10,4,10,4,TRUE
10,5,1e-08,5,TRUE
10,5,0.01,5,TRUE
10,5,0.49,5,TRUE
10,5,10,5,TRUE
10,6,1e-08,6,TRUE
10,6,0.01,6,TRUE
10,6,0.49,6,TRUE
10,6,10,6,TRUE
10,7,1e-08,7,TRUE
10,7,0.01,7,TRUE
10,7,0.49,7,TRUE
10,7,10,7,TRUE
10,8,1e-08,8,TRUE
10,8,0.01,8,TRUE
10,8,0.49,8,TRUE
10,8,10,8,TRUE
10,9,1e-08,9,TRUE
10,9,0.01,9,TRUE
10,9,0.49,9,TRUE
10,9,10,9,TRUE
10,10,1e-08,10,TRUE
10,10,0.01,10,TRUE
10,10,0.49,10,TRUE
10,10,10,10,TRUE
20,2,1e-08,2,TRUE
20,2,0.01,2,TRUE
20,2,0.49,2,TRUE
20,2,10,2,TRUE
20,3,1e-08,3,TRUE
20,3,0.01,3,TRUE
20,3,0.49,3,TRUE
20,3,10,3,TRUE
20,4,1e-08,4,TRUE
20,4,0.01,4,TRUE
20,4,0.49,4,TRUE
20,4,10,4,TRUE
20,5,1e-08,5,TRUE
20,5,0.01,5,TRUE
20,5,0.49,5,TRUE
20,5,10,5,TRUE
20,6,1e-08,6,TRUE
20,6,0.01,6,TRUE
20,6,0.49,6,TRUE
20,6,10,6,TRUE
20,7,1e-08,7,TRUE
20,7,0.01,7,TRUE
20,7,0.49,7,TRUE
20,7,10,7,TRUE
20,8,1e-08,8,TRUE
20,8,0.01,8,TRUE
20,8,0.49,8,TRUE
20,8,10,8,TRUE
20,9,1e-08,9,TRUE
20,9,0.01,9,TRUE
20,9,0.49,9,TRUE
20,9,10,9,TRUE
20,10,1e-08,10,TRUE
20,10,0.01,10,TRUE
20,10,0.49,10,TRUE
20,10,10,10,TRUE
20,11,1e-08,11,TRUE
20,11,0.01,11,TRUE
20,11,0.49,11,TRUE
20,11,10,11,TRUE
20,12,1e-08,12,TRUE
20,12,0.01,12,TRUE
20,12,0.49,12,TRUE
20,12,10,12,TRUE
20,13,1e-08,13,TRUE
20,13,0.01,13,TRUE
20,13,0.49,13,TRUE
20,13,10,13,TRUE
20,14,1e-08,14,TRUE
20,14,0.01,14,TRUE
20,14,0.49,14,TRUE
20,14,10,14,TRUE
20,15,1e-08,15,TRUE
20,15,0.01,15,TRUE
20,15,0.49,15,TRUE
20,15,10,15,TRUE
20,16,1e-08,16,TRUE
20,16,0.01,16,TRUE
20,16,0.49,16,TRUE
20,16,10,16,TRUE
20,17,1e-08,17,TRUE
20,17,0.01,17,TRUE
20,17,0.49,17,TRUE
20,17,10,17,TRUE
20,18,1e-08,18,TRUE
20,18,0.01,18,TRUE
20,18,0.49,18,TRUE
20,18,10,18,TRUE
20,19,1e-08,19,TRUE
20,19,0.01,19,TRUE
20,19,0.49,19,TRUE
20,19,10,19,TRUE
20,20,1e-08,20,TRUE
20,20,0.01,20,TRUE
20,20,0.49,20,TRUE
