"category","check","passed","readiness_required","issue_id","details"
"Robust cluster helper","warning_with_finite_coefficients_is_retained",TRUE,TRUE,,"Synthetic cluster fitting warning."
"Robust cluster helper","fitting_error_is_dropped",TRUE,TRUE,,"Synthetic cluster fitting error."
"Robust cluster helper","missing_coefficient_is_dropped",TRUE,TRUE,,"Cluster-specific fit did not return all required coefficients."
"Robust cluster helper","nonfinite_coefficient_is_dropped",TRUE,TRUE,,"Cluster-specific fit returned non-finite coefficients."
"Production robust aggregation","finite_warning_cluster_is_counted",TRUE,TRUE,,"Cluster 2: Synthetic aggregate warning."
"Production robust aggregation","one_failed_cluster_is_dropped_and_reported",TRUE,TRUE,,"Dropped: 3"
"Production robust aggregation","exactly_two_retained_clusters_produce_valid_inference",TRUE,TRUE,,"Estimate: 0.3 SE: 0.2 df: 1"
"Production robust aggregation","one_retained_cluster_is_rejected",TRUE,TRUE,,"Fewer than two cluster-specific robust estimates were retained."
"Production robust aggregation","zero_retained_clusters_are_rejected",TRUE,TRUE,,"Fewer than two cluster-specific robust estimates were retained."
"Public robust helper","fit_failure_with_drop_true_returns_missing",FALSE,TRUE,,
"Public robust helper","fit_failure_with_drop_false_stops",TRUE,TRUE,,"Cluster-specific model returned error (try drop = TRUE)"
"Public robust helper","omitted_coefficient_with_drop_true_is_dropped",TRUE,TRUE,"A-02","The omitted-coefficient fit was returned as missing."
"Public robust helper","nonfinite_coefficient_with_drop_true_is_dropped",TRUE,TRUE,"A-11","Returned coefficients: NA, NA"
"Public result processing","exactly_two_retained_clusters_match_oracle",TRUE,TRUE,,
"Public result processing","one_retained_cluster_is_rejected",TRUE,TRUE,"A-03","Fewer than two cluster-specific estimates were retained."
"Public result processing","all_dropped_clusters_are_rejected",TRUE,TRUE,,"All clusters dropped."
"Public result processing","nonfinite_coefficients_are_rejected",TRUE,TRUE,"A-11","Cluster-specific model(s) returned non-finite coefficients."
"Omitted coefficient behavior","clusterSEs_drop_true_drops_omitted_coefficient_cluster",FALSE,TRUE,"A-02","cluster-specific model(s) dropped variables; ensure that all variables vary within clusters"
"Omitted coefficient behavior","robust_simulation_path_drops_constant_x_cluster",TRUE,TRUE,,"Retained: 3 Dropped: 1"
"Omitted coefficient behavior","robustbase_simulation_path_drops_constant_x_cluster",TRUE,TRUE,,"Retained: 3 Dropped: 1"
"Retained-cluster inference","nonzero_variance_retained_count_is_recovered",TRUE,TRUE,,"Actual: 4 Inferred: 4"
"Retained-cluster inference","zero_variance_retained_count_is_recovered",TRUE,TRUE,"A-04","Actual: 4 Inferred: 4 Variance: 1.02716263700653e-33"
"Retained-cluster inference","positive_variance_formula_recovery",TRUE,TRUE,,"284 of 284 cases recovered."
"Public model information","info_returns_all_formula_variables",TRUE,FALSE,"A-07","Returned: out, x"
