"model","quantity","production_value","prototype_value","absolute_difference","tolerance","passed"
"study1_robust_ri","estimate",0.0636877868660844,0.0636877868660844,0,1e-08,TRUE
"study1_robust_ri","std_error",0.0565357482466623,0.0565357482466623,0,1e-08,TRUE
"study1_robust_ri","df",210.252814934481,210.252814934481,0,0.001,TRUE
"study1_robust_ri","p_value",0.261236036717745,0.261236036717745,0,1e-08,TRUE
"study1_robust_ri","conf_low",-0.0477617586609173,-0.0477617586609173,0,1e-08,TRUE
"study1_robust_ri","conf_high",0.175137332393086,0.175137332393086,0,1e-08,TRUE
"study1_robust_ri","optimizer_code",0,0,0,0,TRUE
"study1_robust_ri","estimated_random_intercept_sd",1.14236657981394,1.14236657981394,0,1e-08,TRUE
"study1_robust_ri","estimated_random_slope_sd",NA,NA,0,1e-08,TRUE
"study2_robust_ri","estimate",0.152145159501073,0.152145159501073,0,1e-08,TRUE
"study2_robust_ri","std_error",0.0627910969090564,0.0627910969090564,0,1e-08,TRUE
"study2_robust_ri","df",216.623444199901,216.623444199901,0,0.001,TRUE
"study2_robust_ri","p_value",0.0162129511114767,0.0162129511114767,0,1e-08,TRUE
"study2_robust_ri","conf_low",0.0283854450160442,0.0283854450160442,0,1e-08,TRUE
"study2_robust_ri","conf_high",0.275904873986101,0.275904873986101,0,1e-08,TRUE
"study2_robust_ri","optimizer_code",0,0,0,0,TRUE
"study2_robust_ri","estimated_random_intercept_sd",0.490749290626109,0.490749290626109,0,1e-08,TRUE
"study2_robust_ri","estimated_random_slope_sd",NA,NA,0,1e-08,TRUE
"study2_robust_rs","estimate",0.152145161366738,0.152145161366738,0,1e-08,TRUE
"study2_robust_rs","std_error",0.0627910956915018,0.0627910956915018,0,1e-08,TRUE
"study2_robust_rs","df",216.623487721624,216.623487721624,0,0.001,TRUE
"study2_robust_rs","p_value",0.0162129476146266,0.0162129476146266,0,1e-08,TRUE
"study2_robust_rs","conf_low",0.028385449421159,0.028385449421159,0,1e-08,TRUE
"study2_robust_rs","conf_high",0.275904873312317,0.275904873312317,0,1e-08,TRUE
"study2_robust_rs","optimizer_code",0,0,0,0,TRUE
"study2_robust_rs","estimated_random_intercept_sd",0.490749241904373,0.490749241904373,0,1e-08,TRUE
"study2_robust_rs","estimated_random_slope_sd",0,0,0,1e-08,TRUE
