"category","check","passed","required","details"
"Source baseline","phase4c_production_sources_match_expected_md5",TRUE,TRUE,"robust_mixed_models=TRUE; pwr_func_study1=TRUE; pwr_func_study1_helpers=TRUE; pwr_func_study2=TRUE; pwr_func_study2_helpers=TRUE"
"Method schedule","study1_canonical_schedule_is_frozen",TRUE,TRUE,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase,robust_ri"
"Method schedule","study2_canonical_schedule_is_frozen",TRUE,TRUE,"rs,ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase,robust_ri,robust_rs"
"Pilot plumbing","study1_expected_method_rows_returned",TRUE,TRUE,"44 observed; 44 expected"
"Pilot plumbing","study2_expected_method_rows_returned",TRUE,TRUE,"76 observed; 76 expected"
"Pilot inference","every_successful_fit_has_finite_inference",TRUE,TRUE,"120 successful rows of 120 total"
"Robust mixed coverage","every_new_method_has_at_least_one_success",TRUE,TRUE,"Study 1:robust_ri:8:/:8; Study 2:robust_ri:10:/:10; Study 2:robust_rs:10:/:10"
"Robust mixed coverage","robust_methods_succeed_across_all_cluster_tiers",TRUE,TRUE,"Study 1:robust_ri:10:TRUE; Study 2:robust_ri:10:TRUE; Study 2:robust_rs:10:TRUE; Study 1:robust_ri:20:TRUE; Study 2:robust_ri:20:TRUE; Study 2:robust_rs:20:TRUE; Study 1:robust_ri:40:TRUE; Study 2:robust_ri:40:TRUE; Study 2:robust_rs:40:TRUE"
"Method invariance","study1_full_schedule_order_invariance",TRUE,TRUE,"matched: TRUE"
"Method invariance","study2_full_schedule_order_invariance",TRUE,TRUE,"matched: TRUE"
"Method invariance","study1_robust_subset_matches_full_schedule",TRUE,TRUE,"matched: TRUE"
"Method invariance","study2_robust_subset_matches_full_schedule",TRUE,TRUE,"matched: TRUE"
"Pilot diagnostics","pilot_completed_with_diagnostics_recorded",TRUE,TRUE,"16 study-method diagnostic rows"
"Runner staging","definitive_runners_are_still_pre_integration",TRUE,TRUE,"Study1 robust_ri: FALSE ; Study2 robust_ri: FALSE ; Study2 robust_rs: FALSE"
