"study","condition_id","n_clusters","beta","contamination","random_slope_sd","method_scope","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"Study 1","P4D_S1_01",10,0,"none",NA,"all","ri",-0.0212543235500108,-0.0212543235500108,0,0,0.0212543235500108,100,0,0.196978060829639,1,0,0,10,0.670000000000002
"Study 1","P4D_S1_01",10,0,"none",NA,"all","cr2",-0.0683480718689272,-0.0683480718689272,0,0,0.0683480718689272,100,0,0.274437431970001,1,0,NA,10,0.0600000000000023
"Study 1","P4D_S1_01",10,0,"none",NA,"all","cats",-0.0206219207869003,-0.0206219207869003,0,0,0.0206219207869003,100,0,0.231858169208277,1,0,NA,10,0.0999999999999943
"Study 1","P4D_S1_01",10,0,"none",NA,"all","cats_trunc",-0.0206219207869003,-0.0206219207869003,0,0,0.0206219207869003,100,0,0.231858169208277,1,0,NA,10,0.0600000000000023
"Study 1","P4D_S1_01",10,0,"none",NA,"all","cats_robust",-0.0180144359064393,-0.0180144359064393,0,0,0.0180144359064393,100,0,0.245620451283897,1,0,NA,10,0.0999999999999943
"Study 1","P4D_S1_01",10,0,"none",NA,"all","cats_robustbase",-0.0211394325223157,-0.0211394325223157,0,0,0.0211394325223157,100,0,0.249779311088568,1,0,NA,10,0.220000000000013
"Study 1","P4D_S1_01",10,0,"none",NA,"all","robust_ri",-0.0179971138671218,-0.0179971138671218,0,0,0.0179971138671218,100,0,0.20031342022222,1,0,0,10,14.61
"Study 1","P4D_S1_02",10,0.1,"none",NA,"all","ri",0.0787456764460362,-0.0212543235539638,0,0,0.0212543235539638,100,0,0.196978060836265,1,0,0,10,0.320000000000007
"Study 1","P4D_S1_02",10,0.1,"none",NA,"all","cr2",0.0316519281310728,-0.0683480718689272,0,0,0.0683480718689272,100,0,0.274437431970001,1,0,NA,10,0.0599999999999881
"Study 1","P4D_S1_02",10,0.1,"none",NA,"all","cats",0.0793780792130997,-0.0206219207869003,0,0,0.0206219207869003,100,0,0.231858169208277,1,0,NA,10,0.0300000000000011
"Study 1","P4D_S1_02",10,0.1,"none",NA,"all","cats_trunc",0.0793780792130997,-0.0206219207869003,0,0,0.0206219207869003,100,0,0.231858169208277,1,0,NA,10,0.0300000000000011
"Study 1","P4D_S1_02",10,0.1,"none",NA,"all","cats_robust",0.0819855640935607,-0.0180144359064393,0,0,0.0180144359064393,100,0,0.245620451283897,1,0,NA,10,0.0799999999999983
"Study 1","P4D_S1_02",10,0.1,"none",NA,"all","cats_robustbase",0.0788605661751623,-0.0211394338248377,0,0,0.0211394338248377,100,0,0.249779313606713,1,0,NA,10,0.140000000000001
"Study 1","P4D_S1_02",10,0.1,"none",NA,"all","robust_ri",0.0820028861328783,-0.0179971138671217,0,0,0.0179971138671217,100,0,0.200313420222205,1,0,0,10,14.08
"Study 1","P4D_S1_03",10,0,"vertical",NA,"all","ri",-0.0370441375617236,-0.0370441375617236,0,0,0.0370441375617236,100,0,0.350074683077479,1,0,0,10,0.290000000000006
"Study 1","P4D_S1_03",10,0,"vertical",NA,"all","cr2",-0.0766896584573412,-0.0766896584573412,0,0,0.0766896584573412,100,0,0.431805480343605,1,0,NA,10,0.0499999999999972
"Study 1","P4D_S1_03",10,0,"vertical",NA,"all","cats",-0.0224357147261839,-0.0224357147261839,0,0,0.0224357147261839,100,0,0.377302489486645,1,0,NA,10,0.0300000000000011
"Study 1","P4D_S1_03",10,0,"vertical",NA,"all","cats_trunc",-0.0224357147261839,-0.0224357147261839,0,0,0.0224357147261839,100,0,0.377302489486645,1,0,NA,10,0.0499999999999972
"Study 1","P4D_S1_03",10,0,"vertical",NA,"all","cats_robust",-0.0235997225117524,-0.0235997225117524,0,0,0.0235997225117524,100,0,0.274652566158789,1,0,NA,10,0.0600000000000023
"Study 1","P4D_S1_03",10,0,"vertical",NA,"all","cats_robustbase",-0.0264955008242657,-0.0264955008242657,0,0,0.0264955008242657,100,0,0.253756981031821,1,0,NA,10,0.140000000000001
"Study 1","P4D_S1_03",10,0,"vertical",NA,"all","robust_ri",-0.0293004891835031,-0.0293004891835031,0,0,0.0293004891835031,100,0,0.223541452057532,1,0,0,10,13.84
"Study 1","P4D_S1_04",10,0.1,"vertical",NA,"all","ri",0.0629558625118415,-0.0370441374881585,0,0,0.0370441374881585,100,0,0.35007468301668,1,0,0,10,0.310000000000002
"Study 1","P4D_S1_04",10,0.1,"vertical",NA,"all","cr2",0.0233103415426587,-0.0766896584573413,0,0,0.0766896584573413,100,0,0.431805480343605,1,0,NA,10,0.0499999999999972
"Study 1","P4D_S1_04",10,0.1,"vertical",NA,"all","cats",0.0775642852738161,-0.0224357147261839,0,0,0.0224357147261839,100,0,0.377302489486645,1,0,NA,10,0.0400000000000063
"Study 1","P4D_S1_04",10,0.1,"vertical",NA,"all","cats_trunc",0.0775642852738161,-0.0224357147261839,0,0,0.0224357147261839,100,0,0.377302489486645,1,0,NA,10,0.0300000000000011
"Study 1","P4D_S1_04",10,0.1,"vertical",NA,"all","cats_robust",0.0764002774882476,-0.0235997225117524,0,0,0.0235997225117524,100,0,0.274652566158789,1,0,NA,10,0.0699999999999932
"Study 1","P4D_S1_04",10,0.1,"vertical",NA,"all","cats_robustbase",0.0735044849410422,-0.0264955150589578,0,0,0.0264955150589578,100,0,0.25375694818071,1,0,NA,10,0.140000000000001
"Study 1","P4D_S1_04",10,0.1,"vertical",NA,"all","robust_ri",0.070699510816497,-0.029300489183503,0,0,0.029300489183503,100,0,0.223541452057474,1,0,0,10,14.26
"Study 1","P4D_S1_05",10,0,"bad_leverage",NA,"all","ri",-0.0204842449611144,-0.0204842449611144,0,0,0.0204842449611144,100,0,0.14740621064911,1,0,0,10,0.430000000000007
"Study 1","P4D_S1_05",10,0,"bad_leverage",NA,"all","cr2",-0.0887174082632769,-0.0887174082632769,0,0,0.0887174082632769,100,0,0.257383107136836,1,0,NA,10,0.0599999999999881
"Study 1","P4D_S1_05",10,0,"bad_leverage",NA,"all","cats",-0.0164533093161051,-0.0164533093161051,0,0,0.0164533093161051,100,0,0.10555171792908,1,0,NA,10,0.25
"Study 1","P4D_S1_05",10,0,"bad_leverage",NA,"all","cats_trunc",-0.0164533093161051,-0.0164533093161051,0,0,0.0164533093161051,100,0,0.10555171792908,1,0,NA,10,0.0499999999999972
"Study 1","P4D_S1_05",10,0,"bad_leverage",NA,"all","cats_robust",-0.0243432675587844,-0.0243432675587844,0,0,0.0243432675587844,100,0,0.108155785323745,1,0,NA,10,0.0799999999999983
"Study 1","P4D_S1_05",10,0,"bad_leverage",NA,"all","cats_robustbase",-0.0208016503458685,-0.0208016503458685,0,0,0.0208016503458685,100,0,0.117312570132777,1,0,NA,10,0.200000000000003
"Study 1","P4D_S1_05",10,0,"bad_leverage",NA,"all","robust_ri",-0.0215792335184999,-0.0215792335184999,0,0,0.0215792335184999,100,0,0.150151757894505,1,0,0,10,20.65
"Study 1","P4D_S1_06",10,0.1,"bad_leverage",NA,"all","ri",0.0319740820818794,-0.0680259179181206,0,0,0.0680259179181206,100,0,0.147765882443406,1,0,0,10,0.409999999999997
"Study 1","P4D_S1_06",10,0.1,"bad_leverage",NA,"all","cr2",-0.0367044295731744,-0.136704429573174,0,0,0.136704429573174,0,0,0.260574789777458,1,0,NA,10,0.0599999999999739
"Study 1","P4D_S1_06",10,0.1,"bad_leverage",NA,"all","cats",0.0357160783589763,-0.0642839216410237,0,0,0.0642839216410237,0,0,0.106917557197373,1,0,NA,10,0.0499999999999829
"Study 1","P4D_S1_06",10,0.1,"bad_leverage",NA,"all","cats_trunc",0.0357160783589763,-0.0642839216410237,0,0,0.0642839216410237,0,0,0.106917557197373,1,0,NA,10,0.0600000000000023
"Study 1","P4D_S1_06",10,0.1,"bad_leverage",NA,"all","cats_robust",0.0351952422582661,-0.0648047577417339,0,0,0.0648047577417339,100,0,0.137535074651173,1,0,NA,10,0.0999999999999943
"Study 1","P4D_S1_06",10,0.1,"bad_leverage",NA,"all","cats_robustbase",0.0304067182682766,-0.0695932817317234,0,0,0.0695932817317234,0,0,0.121946831631835,1,0,NA,10,0.210000000000008
"Study 1","P4D_S1_06",10,0.1,"bad_leverage",NA,"all","robust_ri",0.0286095950199398,-0.0713904049800602,0,0,0.0713904049800602,100,0,0.15104607816442,1,0,0,10,21.57
"Study 1","P4D_S1_07",20,0.1,"none",NA,"robust_only","robust_ri",0.082455739545347,-0.017544260454653,100,0,0.017544260454653,100,0,0.14964298507315,1,0,0,20,28.04
"Study 1","P4D_S1_08",40,0.1,"none",NA,"robust_only","robust_ri",0.114914867539574,0.0149148675395743,100,0,0.0149148675395743,100,0,0.107501021006946,1,0,0,40,65.42
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","rs",0.070373317380093,0.070373317380093,0,0,0.070373317380093,100,0,0.330127608492241,1,0,0,10,0.71999999999997
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","ri",0.0494929149062544,0.0494929149062544,0,0,0.0494929149062544,100,0,0.193129263113704,1,0,0,10,0.319999999999993
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","cr2",0.141751496290837,0.141751496290837,0,0,0.141751496290837,100,0,0.457705549986995,1,0,NA,10,0.580000000000041
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","cats",0.0814896293284887,0.0814896293284887,0,0,0.0814896293284887,100,0,0.313111678448911,1,0,NA,10,0.0299999999999727
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","cats_trunc",0.0814896293284887,0.0814896293284887,0,0,0.0814896293284887,100,0,0.313111678448911,1,0,NA,10,0.0299999999999727
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","cats_robust",0.0684419032018925,0.0684419032018925,0,0,0.0684419032018925,100,0,0.323405795158153,1,0,NA,10,0.0699999999999932
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","cats_robustbase",0.0662813666447149,0.0662813666447149,0,0,0.0662813666447149,100,0,0.295861229540084,1,0,NA,10,0.150000000000034
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","robust_ri",0.0460152994439108,0.0460152994439108,0,0,0.0460152994439108,100,0,0.195453936795595,1,0,0,10,11.84
"Study 2","P4D_S2_01",10,0,"none",0.05,"all","robust_rs",0.0586149946379851,0.0586149946379851,0,0,0.0586149946379851,100,0,0.340382913943847,1,0,0,10,30.12
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","rs",0.170373317377355,0.0703733173773553,100,0,0.0703733173773553,100,0,0.3301276084612,1,0,0,10,0.449999999999989
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","ri",0.149492914952044,0.0494929149520445,100,0,0.0494929149520445,100,0,0.193129263171318,1,0,0,10,0.28000000000003
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","cr2",0.241751496290836,0.141751496290836,100,0,0.141751496290836,100,0,0.457705549986995,1,0,NA,10,0.0499999999999545
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","cats",0.181489629328489,0.0814896293284888,100,0,0.0814896293284888,100,0,0.313111678448911,1,0,NA,10,0.0299999999999727
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","cats_trunc",0.181489629328489,0.0814896293284888,100,0,0.0814896293284888,100,0,0.313111678448911,1,0,NA,10,0.0300000000000296
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","cats_robust",0.168441903201892,0.0684419032018925,100,0,0.0684419032018925,100,0,0.323405795158153,1,0,NA,10,0.0799999999999841
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","cats_robustbase",0.16628136664474,0.0662813666447404,100,0,0.0662813666447404,100,0,0.295861229540017,1,0,NA,10,0.120000000000005
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","robust_ri",0.146015299443911,0.0460152994439111,100,0,0.0460152994439111,100,0,0.195453936795805,1,0,0,10,11.49
"Study 2","P4D_S2_02",10,0.1,"none",0.05,"all","robust_rs",0.158614994637985,0.0586149946379852,0,0,0.0586149946379852,100,0,0.340382913931215,1,0,0,10,29.59
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","rs",0.0861969495743713,0.0861969495743713,0,0,0.0861969495743713,100,0,0.402112976068591,1,0,0,10,0.510000000000048
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","ri",0.0546981229216214,0.0546981229216214,0,0,0.0546981229216214,100,0,0.195978571555831,1,0,0,10,0.279999999999973
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","cr2",0.147011353313223,0.147011353313223,0,0,0.147011353313223,100,0,0.532726059738328,1,0,NA,10,0.0500000000000114
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","cats",0.0942667792313089,0.0942667792313089,0,0,0.0942667792313089,100,0,0.384057737031108,1,0,NA,10,0.0300000000000296
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","cats_trunc",0.0942667792313089,0.0942667792313089,0,0,0.0942667792313089,100,0,0.384057737031108,1,0,NA,10,0.0299999999999727
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","cats_robust",0.0812190531047127,0.0812190531047127,0,0,0.0812190531047127,100,0,0.392768206930803,1,0,NA,10,0.0699999999999932
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","cats_robustbase",0.0790585165475351,0.0790585165475351,0,0,0.0790585165475351,100,0,0.368847629292802,1,0,NA,10,0.120000000000005
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","robust_ri",0.0595852540617506,0.0595852540617506,0,0,0.0595852540617506,100,0,0.197905236619128,1,0,0,10,11.44
"Study 2","P4D_S2_03",10,0,"none",0.1,"all","robust_rs",0.0784523539618039,0.0784523539618039,0,0,0.0784523539618039,100,0,0.427570660263063,1,0,0,10,28.7
