"condition_id","n_clusters","random_slope_sd","contamination","contamination_label","method","method_label","setting","reps","fit_available_rate","inference_complete_rate","usable_rate","convergence_failure_rate","boundary_fit_rate","mean_estimated_random_slope_sd","median_estimated_random_slope_sd","mean_estimate","mean_std_error","mean_df","mean_fit_sec","mean_inference_sec","mean_total_sec","maximum_total_sec","fit_warning_rate","fit_message_rate","inference_warning_rate","inference_message_rate","fit_error_rate","inference_error_rate","process_warning_rate"
"RMM011",10,0.05,"none","Clean","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,20,0.0712136208764811,0.084246848328836,-0.0404014159586556,0.0598042414495861,8.64495469682097,0.117999999999998,0.256,0.373999999999998,0.390000000000015,0,20,0,0,0,0,0
"RMM013",10,0.05,"vertical","Vertical outliers","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,40,0.0858317726586462,0.0822238184553129,-0.0824265913190037,0.0952034653078866,8.59361058805766,0.132000000000011,0.277999999999997,0.410000000000008,0.439999999999998,0,40,0,0,0,0,0
"RMM015",10,0.1,"none","Clean","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,0,0.135893784606713,0.127448006892114,-0.0382689699914534,0.068317093412788,8.80148147284942,0.116000000000008,0.267999999999995,0.384000000000003,0.410000000000025,0,0,0,0,0,0,0
"RMM017",10,0.1,"vertical","Vertical outliers","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,0,0.153318949435108,0.165002659647437,-0.0798883919553883,0.102732069088679,8.69086317691134,0.117999999999995,0.277999999999997,0.395999999999992,0.420000000000016,0,0,0,0,0,0,0
"RMM019",20,0.05,"none","Clean","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,40,0.0552758925951027,0.0742484150558914,-0.00506631333666169,0.0401871164590147,18.3422496403223,0.133999999999992,0.366000000000008,0.5,0.529999999999973,0,40,0,0,0,0,0
"RMM021",20,0.05,"vertical","Vertical outliers","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,60,0.0510394548955366,0,0.0111969843716811,0.0636422865467772,18.214142378303,0.131999999999994,0.368000000000006,0.5,0.540000000000077,0,60,0,0,0,0,0
"RMM023",20,0.1,"none","Clean","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,20,0.0843680109830999,0.106683154481417,-0.00922903148467774,0.0427125574838891,18.4499534785903,0.141999999999985,0.362000000000012,0.503999999999996,0.539999999999964,0,20,0,0,0,0,0
"RMM025",20,0.1,"vertical","Vertical outliers","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,60,0.0622949019869589,0,0.00702085201861452,0.0648756838613102,18.2468790185394,0.130000000000064,0.359999999999991,0.490000000000055,0.5300000000002,0,60,0,0,0,0,0
"RMM027",40,0.05,"none","Clean","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,0,0.0675383180989056,0.0595793446578808,-0.00426602207379658,0.0278084829139494,37.5689029083394,0.16599999999994,0.774000000000024,0.939999999999964,1.25,0,0,0,0,0,0,0
"RMM029",40,0.05,"vertical","Vertical outliers","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,20,0.0787492399802001,0.0856519284805242,-0.0183415230271261,0.0444025870653127,37.3604166457021,0.175999999999931,0.940000000000009,1.11599999999994,1.25,0,20,0,0,0,0,0
"RMM031",40,0.1,"none","Clean","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,0,0.110520786058175,0.115459850661224,-0.00342995338224089,0.0309672697257725,38.007313301625,0.169999999999891,0.855999999999949,1.02599999999984,1.23999999999978,0,0,0,0,0,0,0
"RMM033",40,0.1,"vertical","Vertical outliers","lmer_kr","Conventional random slope (KR)",,5,100,100,100,0,20,0.0992474707516323,0.0958261695097846,-0.0179702231032025,0.0459628314774525,37.4630831835051,0.169999999999982,0.75,0.919999999999982,1.22000000000025,0,20,0,0,0,0,0
"RMM011",10,0.05,"none","Clean","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.0297698801442257,0.0531497032291553,363.780687470423,7.518,8.944,16.714,25.47,0,20,0,0,0,0,0
"RMM013",10,0.05,"vertical","Vertical outliers","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.0434257250158799,0.0636466999003517,356.652568058852,6.292,9.94000000000001,16.488,19.03,0,40,0,0,0,0,0
"RMM015",10,0.1,"none","Clean","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,60,0.0563897800749744,0,-0.0297167910754131,0.0603203068143361,239.805454344729,8.88399999999999,11.534,20.706,28.78,0,0,0,0,0,0,0
"RMM017",10,0.1,"vertical","Vertical outliers","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,80,0.0257780522661279,0,-0.0404569739072267,0.0664202844714902,283.162969714121,10.34,10.786,21.416,30.97,0,0,0,0,0,0,0
"RMM019",20,0.05,"none","Clean","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.00590547663647356,0.0376760097666383,907.091742532477,13.776,21.366,35.654,45.1700000000001,0,40,0,0,0,0,0
"RMM021",20,0.05,"vertical","Vertical outliers","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.00378787398473466,0.0447617611392823,876.652719367079,11.756,22.064,34.348,36.61,0,60,0,0,0,0,0
"RMM023",20,0.1,"none","Clean","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.0104335047262332,0.0377811507544737,911.79463959004,18.944,20.874,40.35,62.72,0,20,0,0,0,0,0
"RMM025",20,0.1,"vertical","Vertical outliers","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.00817084499619694,0.0448785216470654,886.123944552685,13.846,21.852,36.22,38.5400000000002,0,60,0,0,0,0,0
"RMM027",40,0.05,"none","Clean","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.00726348272068601,0.0258697839813091,1492.8025171097,25.956,53.51,80.9199999999999,109.89,0,0,0,0,0,0,0
"RMM029",40,0.05,"vertical","Vertical outliers","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.0131291926260657,0.0307475766602609,1535.48692620866,20.928,53.694,75.966,82.3799999999999,0,20,0,0,0,0,0
"RMM031",40,0.1,"none","Clean","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,80,0.0274722463360314,0,-0.00681035839897639,0.027606715320234,1274.50091518364,34.0419999999999,59.172,94.722,126.32,0,0,0,0,0,0,0
"RMM033",40,0.1,"vertical","Vertical outliers","rlmer_RSEa","Robust random slope (RSEa)","RSEa",5,100,100,100,0,100,0,0,-0.0123549159832962,0.0308611447872894,1535.00481885969,31.9220000000001,53.4059999999999,86.776,124.5,0,20,0,0,0,0,0
"RMM011",10,0.05,"none","Clean","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,80,0.0237390930351182,0,-0.0306813857422869,0.0557815506035947,228.704740488723,9.62399999999993,15.6640000000001,25.582,40.3800000000001,0,20,0,0,0,0,0
"RMM013",10,0.05,"vertical","Vertical outliers","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,100,0,0,-0.0414362867739043,0.0589837898827165,269.012531722135,11.766,16.734,28.826,35.3600000000001,0,40,0,0,0,0,0
"RMM015",10,0.1,"none","Clean","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,60,0.0562273188756953,0,-0.0294009106722429,0.0602410208079314,180.250552054338,37.702,17.838,55.852,142.46,0,0,0,0,0,0,0
"RMM017",10,0.1,"vertical","Vertical outliers","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,40,0.0818629906979745,0.132750582981354,-0.0396579619230266,0.0680670762896366,124.316909988956,18.3580000000001,19.666,38.3420000000001,46.4200000000001,0,0,0,0,0,0,0
"RMM019",20,0.05,"none","Clean","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,80,0.0253692491904246,0,-0.00628057532305594,0.0402740683941688,530.812136786229,17.5339999999999,35.4360000000001,53.5599999999999,81.7399999999998,0,40,0,0,0,0,0
"RMM021",20,0.05,"vertical","Vertical outliers","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,100,0,0,-0.00384500243677232,0.0423411599668091,643.383395725903,19.9139999999999,31.23,51.6839999999998,62.6100000000001,0,60,0,0,0,0,0
"RMM023",20,0.1,"none","Clean","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,80,0.0296306120087843,0,-0.0108202131146551,0.041017686296992,528.755736619809,19.3559999999999,35.6539999999999,55.5899999999999,75.4399999999996,0,20,0,0,0,0,0
"RMM025",20,0.1,"vertical","Vertical outliers","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,80,0.0264341110011847,0,-0.00892167913260502,0.0444321079849634,518.653114887127,26.3160000000001,35.8920000000001,62.8040000000001,94.4200000000001,0,60,0,0,0,0,0
"RMM027",40,0.05,"none","Clean","rlmer_RSEn","Robust random slope (RSEn)","RSEn",5,100,100,100,0,100,0,0,-0.00718211569150282,0.0261338788023429,1199.57197308642,51.5440000000001,78.2720000000001,131.338,225.94,0,0,0,0,0,0,0
