"condition_id","replicate","replicate_seed","n_clusters","random_slope_sd","contamination","contamination_label","rsen_estimate","rsen_std_error","rsen_df","rsen_boundary_fit","rsen_estimated_random_slope_sd","rsen_total_elapsed_sec","rsen_usable","rsea_estimate","rsea_std_error","rsea_df","rsea_boundary_fit","rsea_estimated_random_slope_sd","rsea_total_elapsed_sec","rsea_usable","lmer_estimate","lmer_std_error","lmer_df","lmer_boundary_fit","lmer_estimated_random_slope_sd","lmer_total_elapsed_sec","lmer_usable","rsea_minus_rsen_slope_sd","rsea_minus_rsen_estimate","rsea_to_rsen_se_ratio","lmer_minus_rsea_slope_sd","rsea_to_rsen_runtime_ratio","boundary_transition"
"RMM011",1,561050143,10,0.05,"none","Clean",-0.0927159023562981,0.0548296897921223,146.680954627685,TRUE,0,24.53,TRUE,-0.0926243900657553,0.0557494277453436,176.867591490883,TRUE,0,14.39,TRUE,-0.0877585752153685,0.0554781269620996,8.31132931613072,TRUE,0,0.390000000000001,TRUE,0,9.15122905428001e-05,1.01677445115426,0,0.586628618018754,"RSEn_boundary__RSEa_boundary"
"RMM011",2,275491558,10,0.05,"none","Clean",0.0164954809362196,0.0634372064597303,2.16601663169292,FALSE,0.118695465175591,40.3800000000001,TRUE,0.0212292003970701,0.0499285616768439,247.943518329465,TRUE,0,25.47,TRUE,-0.00343843896527481,0.0696704716422974,8.91863230570828,FALSE,0.158049591284656,0.349999999999994,TRUE,-0.118695465175591,0.00473371946085047,0.787054860439643,0.158049591284656,0.630757800891528,"RSEn_positive__RSEa_boundary"
"RMM011",3,658591458,10,0.05,"none","Clean",-0.0868391604958783,0.057288289570995,444.593840000762,TRUE,0,17.8099999999999,TRUE,-0.0867888807983967,0.0562004324367979,584.867969580231,TRUE,0,11.99,TRUE,-0.0847637002755672,0.0550171710877525,8.53479870783635,FALSE,0.00994284520801666,0.379999999999995,TRUE,0,5.02796974816283e-05,0.981010828873692,0.00994284520801666,0.673217293655252,"RSEn_boundary__RSEa_boundary"
"RMM011",4,835799753,10,0.05,"none","Clean",0.0246701240658683,0.0490375378069909,289.163019572324,TRUE,0,23.77,TRUE,0.024413343781776,0.0496005754528154,425.657512428444,TRUE,0,15.91,TRUE,-0.00458762656706988,0.0593809887151216,8.7819447912857,FALSE,0.103828819560897,0.359999999999985,TRUE,0,-0.000256780284092265,1.01148176827394,0.103828819560897,0.669331089608751,"RSEn_boundary__RSEa_boundary"
"RMM011",5,731039463,10,0.05,"none","Clean",-0.0150174708613462,0.054315029388135,260.919871611153,TRUE,0,21.4200000000001,TRUE,-0.0150786740358226,0.0542695188339756,383.566845523091,TRUE,0,15.81,TRUE,-0.0214587387699974,0.0594744488406596,8.6780683631438,FALSE,0.084246848328836,0.390000000000015,TRUE,0,-6.12031744764291e-05,0.999162100165054,0.084246848328836,0.738095238095236,"RSEn_boundary__RSEa_boundary"
"RMM013",1,561050143,10,0.05,"vertical","Vertical outliers",-0.0930192378309746,0.0605477351393289,126.377606766669,TRUE,0,33.24,TRUE,-0.0937557716882368,0.0668239726763216,167.948920407966,TRUE,0,17.03,TRUE,-0.129915550013575,0.0936170344159665,8.4233847433114,FALSE,0.0822238184553129,0.419999999999987,TRUE,0,-0.000736533857262259,1.10365767641928,0.0822238184553129,0.512334536702768,"RSEn_boundary__RSEa_boundary"
"RMM013",2,275491558,10,0.05,"vertical","Vertical outliers",-0.0334727185805383,0.0563496398440145,180.346730710192,TRUE,0,25.29,TRUE,-0.0391200643424238,0.0601478011658301,286.236487587298,TRUE,0,12.47,TRUE,-0.16715288019071,0.0839610209501169,8.61531309544932,TRUE,3.42633351543177e-05,0.439999999999998,TRUE,0,-0.00564734576188557,1.06740347111942,3.42633351543177e-05,0.493080268880982,"RSEn_boundary__RSEa_boundary"
"RMM013",3,658591458,10,0.05,"vertical","Vertical outliers",-0.121977752541828,0.0630147882839134,391.56171770384,TRUE,0,28.1900000000001,TRUE,-0.124135861701169,0.0666631118802543,649.558431177145,TRUE,0,17.65,TRUE,-0.228082714465515,0.110922704645722,8.78137825438392,FALSE,0.202699795090536,0.420000000000016,TRUE,0,-0.00215810915934013,1.05789630808412,0.202699795090536,0.626108549130898,"RSEn_boundary__RSEa_boundary"
"RMM013",4,835799753,10,0.05,"vertical","Vertical outliers",0.0551749071646002,0.0545849306639352,375.208278327688,TRUE,0,35.3600000000001,TRUE,0.0550434464710221,0.0598749074721323,331.943839754625,TRUE,0,19.03,TRUE,0.12654369158119,0.0873972382807258,8.46724052531573,TRUE,0,0.410000000000025,TRUE,0,-0.000131460693578125,1.09691276958408,0,0.538178733031672,"RSEn_boundary__RSEa_boundary"
"RMM013",5,731039463,10,0.05,"vertical","Vertical outliers",-0.0138866320807805,0.0604218554823903,271.568325102284,TRUE,0,22.05,TRUE,-0.0151603738185923,0.0647237063072203,347.575161367224,TRUE,0,16.26,TRUE,-0.0135255035064092,0.100119328246902,8.68073632182794,FALSE,0.144200986412228,0.360000000000014,TRUE,0,-0.00127374173781174,1.07119693346862,0.144200986412228,0.737414965986396,"RSEn_boundary__RSEa_boundary"
