"n_clusters","random_slope_sd","contamination","contamination_label","reps","rsen_boundary_rate","rsea_boundary_rate","lmer_boundary_rate","rsen_mean_slope_sd","rsea_mean_slope_sd","lmer_mean_slope_sd","mean_rsea_minus_rsen_slope_sd","mean_abs_rsea_minus_rsen_estimate","mean_rsea_to_rsen_se_ratio","mean_rsea_to_rsen_runtime_ratio"
10,0.05,"none","Clean",5,80,100,20,0.0237390930351182,0,0.0712136208764811,-0.0237390930351182,0.00103869898148872,0.959096801781318,0.659606008053904
20,0.05,"none","Clean",5,80,100,40,0.0253692491904246,0,0.0552758925951027,-0.0253692491904246,0.000440970635962035,0.943420567899279,0.68344055178449
40,0.05,"none","Clean",5,100,100,0,0,0,0.0675383180989056,0,0.000140671077370808,0.990032642385543,0.647221241418809
10,0.1,"none","Clean",5,60,60,0,0.0562273188756953,0.0563897800749744,0.135893784606713,0.000162461199279121,0.00128637837436597,1.00296881025234,0.520809748424727
20,0.1,"none","Clean",5,80,100,20,0.0296306120087843,0,0.0843680109830999,-0.0296306120087843,0.000439852121989803,0.933636196129531,0.714820061705898
40,0.1,"none","Clean",5,80,80,0,0.0313640059922032,0.0274722463360314,0.110520786058175,-0.00389175965617178,9.25451718148163e-05,0.979414627847659,0.65488104555563
10,0.05,"vertical","Vertical outliers",5,100,100,40,0,0,0.0858317726586462,0,0.00198943824197557,1.0794134317351,0.581423410746543
20,0.05,"vertical","Vertical outliers",5,100,100,60,0,0,0.0510394548955366,0,0.000513994676871452,1.05714454629175,0.671564873372092
40,0.05,"vertical","Vertical outliers",5,100,100,20,0,0,0.0787492399802001,0,0.000665406364142805,1.06166793487095,0.655334205265892
10,0.1,"vertical","Vertical outliers",5,40,80,0,0.0818629906979745,0.0257780522661279,0.153318949435108,-0.0560849384318467,0.00225146259292564,0.992545714401047,0.574115677054403
20,0.1,"vertical","Vertical outliers",5,80,100,60,0.0264341110011847,0,0.0622949019869589,-0.0264341110011847,0.00114998111896703,1.01727981840182,0.606298173379034
40,0.1,"vertical","Vertical outliers",5,80,100,20,0.0325569904773899,0,0.0992474707516323,-0.0325569904773899,0.00125985934288127,1.00624246722112,0.662589020113938
