"condition_id","study","n_clusters","random_slope_sd","contamination","contamination_label","model","model_label","reps","fit_available_rate","inference_complete_rate","usable_rate","convergence_code_available_rate","convergence_failure_rate","boundary_fit_rate","fit_warning_rate","fit_message_rate","inference_warning_rate","inference_message_rate","fit_error_rate","inference_error_rate","mean_fit_sec","mean_inference_sec","mean_total_sec","maximum_total_sec","mean_estimated_random_intercept_sd","mean_estimated_random_slope_sd","mean_residual_weight","minimum_residual_weight","mean_prop_residual_weights_below_0_8","mean_random_effect_weight","minimum_random_effect_weight"
"RMM001","Study 1",10,0,"none","Clean","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,3.516,9.04,12.824,14.45,0.911082375558701,,0.960144896843523,0.355203739707234,0.088,0.966515674942843,0.528967648923385
"RMM002","Study 1",10,0,"vertical","Vertical outliers","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,4.84,9.356,14.47,16.12,0.908081880567074,,0.936991523684064,0.167579560048813,0.1095,0.96634126909663,0.558221970471463
"RMM003","Study 1",10,0,"bad_leverage","Bad leverage","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,3.51600000000001,8.972,12.756,14.35,0.904770017296816,,0.961388334379152,0.355973756054227,0.0845,0.966204869799235,0.515034387382735
"RMM004","Study 1",20,0,"none","Clean","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,5.81599999999999,19.634,25.978,28.9,0.942760712594132,,0.958792690287988,0.347043104126306,0.09325,0.979742986526872,0.407163394101766
"RMM005","Study 1",20,0,"vertical","Vertical outliers","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,8.01200000000001,21.194,29.734,32.17,0.923497234674305,,0.935351060363072,0.150252293370916,0.11275,0.979772483018186,0.394862115567228
"RMM006","Study 1",20,0,"bad_leverage","Bad leverage","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,5.48000000000004,19.586,25.594,28.3000000000001,0.942386190023866,,0.958856947937301,0.339104386666056,0.0945,0.97978090795978,0.408226401974876
"RMM007","Study 1",40,0,"none","Clean","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,11.19,46.836,59.454,63.33,1.03242979962251,,0.96118899908797,0.338010249790159,0.08725,0.958911157584639,0.452375697237951
"RMM008","Study 1",40,0,"vertical","Vertical outliers","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,15.184,51.516,68.03,71.4499999999999,1.02364959909397,,0.937441794156817,0.171171731706249,0.106125,0.958733552668255,0.450263463912017
"RMM009","Study 1",40,0,"bad_leverage","Bad leverage","study1_robust_ri","Study 1 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,11.0259999999999,46.6880000000001,59.038,62.47,1.03088572494435,,0.960890177935855,0.343972091617289,0.08675,0.958817388638935,0.454605714213283
"RMM010","Study 2",10,0.05,"none","Clean","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,3.496,8.75,12.528,13.8900000000001,1.03376979462999,,0.95948999838466,0.408415712650215,0.0895,0.977869061127002,0.690110719590221
"RMM011","Study 2",10,0.05,"none","Clean","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,80,0,20,0,0,0,0,9.62399999999993,15.6640000000001,25.582,40.3800000000001,1.03316302655324,0.0237390930351182,0.959748218601217,0.408415732197496,0.089,0.988899960458353,0.689278594386817
"RMM012","Study 2",10,0.05,"vertical","Vertical outliers","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,4.64200000000005,9.16999999999998,14.094,16.75,1.0296264627794,,0.93541855643892,0.181008413485109,0.112,0.978814442876797,0.73104015432854
"RMM013","Study 2",10,0.05,"vertical","Vertical outliers","study2_robust_rs","Study 2 robust random slope",5,100,100,100,100,0,100,0,40,0,0,0,0,11.766,16.734,28.826,35.3600000000001,1.029626537468,0,0.935418557050024,0.181008407605472,0.112,0.989407225950944,0.731040154328544
"RMM014","Study 2",10,0.1,"none","Clean","study2_robust_ri","Study 2 robust random intercept",5,100,100,100,100,0,0,0,0,0,0,0,0,4.1559999999999,8.54600000000019,12.9720000000001,16.7700000000002,1.03454526024277,,0.959519690461693,0.424337770101822,0.086,0.97785748476373,0.693288948829079
