"condition_id","study","n_clusters","cluster_size","beta","random_slope_sd","contamination","contamination_label","model","model_label","reps","condition_seed","estimate","std_error","df","statistic","p_value","conf_low","conf_high","reject","cover","fit_available","inference_complete","convergence_code","convergence_code_zero","boundary_fit","estimated_random_intercept_sd","estimated_random_slope_sd","estimated_residual_sd","residual_weight_minimum","residual_weight_mean","residual_weight_prop_below_0_5","residual_weight_prop_below_0_8","residual_weight_count","random_effect_weight_minimum","random_effect_weight_mean","random_effect_weight_prop_below_0_5","random_effect_weight_prop_below_0_8","random_effect_weight_count","fit_warning","fit_message","fit_error","inference_warning","inference_message","inference_error","process_warning","process_message","process_error","variance_component_error","summary_column_names","fit_elapsed_sec","inference_elapsed_sec","process_elapsed_sec","total_elapsed_sec","replicate","replicate_seed","usable"
"RMM001","Study 1",10,40,0,0,"none","Clean","study1_robust_ri","Study 1 robust random intercept",5,20260920,0.0390783811418378,0.0518135300261152,216.374140746108,0.754211904152089,0.451542003422908,-0.0630454788180813,0.141202241101757,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,1.05065681695619,,0.992789312947772,0.449735362778144,0.955629317859832,0.005,0.095,400,0.53854731626805,0.953715020053109,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",4.14,8.24,0.270000000000003,12.65,1,2036501324,TRUE
"RMM001","Study 1",10,40,0,0,"none","Clean","study1_robust_ri","Study 1 robust random intercept",5,20260920,-0.0197950905402897,0.0535301647535399,262.85373165516,-0.369793192892811,0.71183434522162,-0.125197592926427,0.0856074118458473,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,1.59090809744407,,0.989981046306814,0.47298323401516,0.961507869904798,0.005,0.0875,400,0.644710590531659,0.964471059053166,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",2.83,7.97,0.260000000000005,11.06,2,109345142,TRUE
"RMM001","Study 1",10,40,0,0,"none","Clean","study1_robust_ri","Study 1 robust random intercept",5,20260920,-0.00755258310116084,0.0534787797264457,420.749037053516,-0.141225793479091,0.887759160498815,-0.1126714443518,0.0975662781494784,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.745198517326649,,1.02111145586959,0.384477780690097,0.959621399223292,0.015,0.09,400,0.614955307156003,0.9614955307156,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",3.03,9.3,0.25,12.58,3,1297033306,TRUE
"RMM001","Study 1",10,40,0,0,"none","Clean","study1_robust_ri","Study 1 robust random intercept",5,20260920,0.0545548125505102,0.0540817310465642,444.836351119434,1.00874752887512,0.313644112676133,-0.051732618385564,0.160842243486584,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.465860920112189,,1.02717401200605,0.480124345204187,0.965990889099037,0.0075,0.0775,400,0.528967648923385,0.952896764892339,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",4.17,9.98999999999999,0.290000000000006,14.45,4,344610857,TRUE
"RMM001","Study 1",10,40,0,0,"none","Clean","study1_robust_ri","Study 1 robust random intercept",5,20260920,-0.00322999077818308,0.0532588420153437,255.155387074405,-0.0606470335433229,0.951687790225971,-0.108112886731855,0.101652905175489,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.702787525954412,,1.06856598814913,0.355203739707234,0.957975008130653,0.005,0.09,400,1,1,0,0,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",3.41,9.7,0.269999999999996,13.38,5,910495872,TRUE
"RMM002","Study 1",10,40,0,0,"vertical","Vertical outliers","study1_robust_ri","Study 1 robust random intercept",5,20260920,0.0198324343037927,0.0570145832108804,228.856475312808,0.347848448359927,0.72827372638894,-0.0925081795524919,0.132173048160077,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,1.07438104922994,,1.09250193468518,0.188400397467525,0.935417131480738,0.0475,0.12,400,0.565205519585587,0.955974027757837,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",6,8.42,0.25,14.67,1,2036501324,TRUE
"RMM002","Study 1",10,40,0,0,"vertical","Vertical outliers","study1_robust_ri","Study 1 robust random intercept",5,20260920,0.00457447245010311,0.0592210431241568,333.761314269612,0.0772440370648781,0.938475693990614,-0.111919068472233,0.12106801337244,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,1.55487852536976,,1.09526190243164,0.183098642793755,0.936589739407045,0.05,0.1175,400,0.60904904406129,0.960904904406129,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",3.57999999999998,8.18000000000001,0.299999999999983,12.06,2,109345142,TRUE
"RMM002","Study 1",10,40,0,0,"vertical","Vertical outliers","study1_robust_ri","Study 1 robust random intercept",5,20260920,-0.00208789660225786,0.0595343937600325,599.820024955385,-0.0350704268640682,0.972035250298565,-0.119009088808408,0.114833295603892,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.734487842933481,,1.13689496997072,0.167579560048813,0.937389494031649,0.055,0.1,400,0.602170832468566,0.959005216272035,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",4.58000000000001,9.79999999999998,0.29000000000002,14.67,3,1297033306,TRUE
"RMM002","Study 1",10,40,0,0,"vertical","Vertical outliers","study1_robust_ri","Study 1 robust random intercept",5,20260920,0.0445615559509844,0.0606264065504568,487.871567333546,0.73501892139851,0.462681133836305,-0.0745595330344176,0.163682644936386,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.483177629627332,,1.15172466330949,0.211201470082948,0.940593754686125,0.05,0.0975,400,0.558221970471463,0.955822197047146,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",5.34999999999999,10.49,0.280000000000001,16.12,4,344610857,TRUE
"RMM002","Study 1",10,40,0,0,"vertical","Vertical outliers","study1_robust_ri","Study 1 robust random intercept",5,20260920,-0.0121644992699319,0.0594709642204231,296.302435455415,-0.204545183172841,0.838067917181811,-0.129203504415228,0.104874505875364,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,0.693484355674851,,1.19346210011527,0.203669396294862,0.934967498814762,0.0525,0.1125,400,1,1,0,0,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",4.69,9.88999999999999,0.25,14.83,5,910495872,TRUE
"RMM003","Study 1",10,40,0,0,"bad_leverage","Bad leverage","study1_robust_ri","Study 1 robust random intercept",5,20260920,-0.0562805616534532,0.0393535024269682,221.390578090117,-1.43012840490876,0.154089925177332,-0.133835970006604,0.0212748466996974,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,1.02919218139925,,0.997912208694635,0.417837896757985,0.956071297271121,0.0025,0.095,400,0.527869282209793,0.95274117671626,0,0.1,10,,,,,,,,,,,"Estimate | Std. Error | df | t value | Pr(>|t|)",3.78,8.34999999999999,0.280000000000001,12.41,1,2036501324,TRUE
