"condition_id","candidate_id","n_clusters","cluster_size","beta","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","warning_rep_rate","error_rep_rate","failure_rate","singular_rate","cluster_warning_rep_rate","cluster_error_rep_rate","dropped_cluster_rep_rate","mean_cluster_warning_count","mean_cluster_error_count","mean_dropped_cluster_count","template_warning_rate","mean_retained_clusters","mean_runtime_sec"
"BLF001","BL01",20,40,0,0.05,0.25,4,250,20260802,"ri",0,0,0,0,,,,,,,0,20,0.33648
"BLF001","BL01",20,40,0,0.05,0.25,4,250,20260802,"cr2",0,0,0,,,,,,,,0,20,0.0984799999999996
"BLF001","BL01",20,40,0,0.05,0.25,4,250,20260802,"cats",0,0,0,,,,,,,,0,20,0.0647600000000003
"BLF001","BL01",20,40,0,0.05,0.25,4,250,20260802,"cats_trunc",0,0,0,,,,,,,,0,20,0.0600800000000005
"BLF001","BL01",20,40,0,0.05,0.25,4,250,20260802,"cats_robust",100,0,0,,2.8,0,0,0.028,0,0,2,20,0.12992
"BLF001","BL01",20,40,0,0.05,0.25,4,250,20260802,"cats_robustbase",100,0,0,,5.2,0,0,0.052,0,0,0,20,0.25324
"BLF002","BL02",20,40,0,0.05,0.5,4,250,20260802,"ri",0,0,0,0,,,,,,,0,20,0.334959999999998
"BLF002","BL02",20,40,0,0.05,0.5,4,250,20260802,"cr2",0,0,0,,,,,,,,0,20,0.0960799999999992
"BLF002","BL02",20,40,0,0.05,0.5,4,250,20260802,"cats",0,0,0,,,,,,,,0,20,0.0632799999999991
"BLF002","BL02",20,40,0,0.05,0.5,4,250,20260802,"cats_trunc",0,0,0,,,,,,,,0,20,0.0689600000000028
"BLF002","BL02",20,40,0,0.05,0.5,4,250,20260802,"cats_robust",100,0,0,,2.4,0,0,0.024,0,0,2,20,0.135400000000002
"BLF002","BL02",20,40,0,0.05,0.5,4,250,20260802,"cats_robustbase",100,0,0,,5.2,0,0,0.052,0,0,0,20,0.263679999999999
"BLF003","BL03",20,40,0,0.05,0.75,4,250,20260802,"ri",0,0,0,0,,,,,,,0,20,0.325959999999996
"BLF003","BL03",20,40,0,0.05,0.75,4,250,20260802,"cr2",0,0,0,,,,,,,,0,20,0.0956399999999999
"BLF003","BL03",20,40,0,0.05,0.75,4,250,20260802,"cats",0,0,0,,,,,,,,0,20,0.0713600000000006
"BLF003","BL03",20,40,0,0.05,0.75,4,250,20260802,"cats_trunc",0,0,0,,,,,,,,0,20,0.0666799999999998
"BLF003","BL03",20,40,0,0.05,0.75,4,250,20260802,"cats_robust",100,0,0,,5.2,0,0,0.052,0,0,1.6,20,0.135319999999998
"BLF003","BL03",20,40,0,0.05,0.75,4,250,20260802,"cats_robustbase",100,0,0,,5.6,0,0,0.056,0,0,0,20,0.260800000000003
