"condition_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed"
"001",10,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260729
"002",10,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260730
"003",10,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260731
"004",10,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260732
"005",10,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260733
"006",10,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260734
"007",20,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260735
"008",20,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260736
"009",20,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260737
"010",20,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260738
"011",20,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260739
"012",20,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260740
"013",40,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260741
"014",40,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260742
"015",40,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260743
"016",40,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260744
"017",40,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260745
"018",40,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260746
