"condition_id","n_clusters","cluster_size","beta","contamination","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","warning_count","warning_rate","error_count","error_rate","failure_count","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"001",10,40,0,"none",0.05,10,10,5,20260729,"ri",0,0,0,0,0,0,0,10,0.708000000000001
"001",10,40,0,"none",0.05,10,10,5,20260729,"cr2",0,0,0,0,0,0,,10,0.0639999999999986
"001",10,40,0,"none",0.05,10,10,5,20260729,"cats",0,0,0,0,0,0,,10,0.0260000000000005
"001",10,40,0,"none",0.05,10,10,5,20260729,"cats_trunc",0,0,0,0,0,0,,10,0.0400000000000006
"001",10,40,0,"none",0.05,10,10,5,20260729,"cats_robust",0,0,0,0,0,0,,10,0.0719999999999999
"001",10,40,0,"none",0.05,10,10,5,20260729,"cats_robustbase",0,0,0,0,0,0,,10,0.180000000000001
"002",10,40,0,"vertical",0.05,10,10,5,20260730,"ri",0,0,0,0,0,0,0,10,0.295999999999999
"002",10,40,0,"vertical",0.05,10,10,5,20260730,"cr2",0,0,0,0,0,0,,10,0.0600000000000009
"002",10,40,0,"vertical",0.05,10,10,5,20260730,"cats",0,0,0,0,0,0,,10,0.0339999999999975
"002",10,40,0,"vertical",0.05,10,10,5,20260730,"cats_trunc",0,0,0,0,0,0,,10,0.0439999999999998
"002",10,40,0,"vertical",0.05,10,10,5,20260730,"cats_robust",0,0,0,0,0,0,,10,0.0700000000000003
"002",10,40,0,"vertical",0.05,10,10,5,20260730,"cats_robustbase",0,0,0,0,0,0,,10,0.13
"003",10,40,0,"bad_leverage",0.05,10,10,5,20260731,"ri",0,0,0,0,0,0,0,10,0.675999999999999
"003",10,40,0,"bad_leverage",0.05,10,10,5,20260731,"cr2",0,0,0,0,0,0,,10,0.045999999999998
"003",10,40,0,"bad_leverage",0.05,10,10,5,20260731,"cats",0,0,0,0,0,0,,10,0.0300000000000011
"003",10,40,0,"bad_leverage",0.05,10,10,5,20260731,"cats_trunc",0,0,0,0,0,0,,10,0.0339999999999989
"003",10,40,0,"bad_leverage",0.05,10,10,5,20260731,"cats_robust",0,0,0,0,0,0,,10,0.0579999999999998
"003",10,40,0,"bad_leverage",0.05,10,10,5,20260731,"cats_robustbase",0,0,0,0,0,0,,10,0.126000000000001
"004",10,40,0.2,"none",0.05,10,10,5,20260732,"ri",0,0,0,0,0,0,0,10,0.678000000000001
"004",10,40,0.2,"none",0.05,10,10,5,20260732,"cr2",0,0,0,0,0,0,,10,0.0539999999999978
"004",10,40,0.2,"none",0.05,10,10,5,20260732,"cats",0,0,0,0,0,0,,10,0.0320000000000022
"004",10,40,0.2,"none",0.05,10,10,5,20260732,"cats_trunc",0,0,0,0,0,0,,10,0.0420000000000002
"004",10,40,0.2,"none",0.05,10,10,5,20260732,"cats_robust",0,0,0,0,0,0,,10,0.0619999999999976
