"condition_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"001",10,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260729,"ri",-0.00716755118466034,-0.00716755118466034,0,0,0.0396860886269539,100,0,0.203269369789472,5,0,0,10,0.708000000000001
"001",10,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260729,"cr2",0.00397813118610007,0.00397813118610007,0,0,0.0585909169692317,100,0,0.267200383350446,5,0,,10,0.0639999999999986
"001",10,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260729,"cats",-0.00670376090838459,-0.00670376090838459,0,0,0.0365028550108498,100,0,0.222062693272677,5,0,,10,0.0260000000000005
"001",10,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260729,"cats_trunc",-0.00670376090838459,-0.00670376090838459,0,0,0.0365028550108498,100,0,0.222062693272677,5,0,,10,0.0400000000000006
"001",10,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260729,"cats_robust",0.00393446957179222,0.00393446957179222,0,0,0.0401215309177344,100,0,0.242937575754105,5,0,,10,0.0719999999999999
"001",10,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260729,"cats_robustbase",0.00227984412646666,0.00227984412646666,0,0,0.0386401033147034,100,0,0.231194111671513,5,0,,10,0.180000000000001
"002",10,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260730,"ri",-0.0434735881833944,-0.0434735881833944,0,0,0.0856170813529089,100,0,0.501745815994589,5,0,0,10,0.295999999999999
"002",10,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260730,"cr2",-0.0399981147716097,-0.0399981147716097,0,0,0.101218019639169,100,0,0.581032898003451,5,0,,10,0.0600000000000009
"002",10,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260730,"cats",-0.0626986523384703,-0.0626986523384703,0,0,0.0932766665431464,100,0,0.587567533778011,5,0,,10,0.0339999999999975
"002",10,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260730,"cats_trunc",-0.0626986523384703,-0.0626986523384703,0,0,0.0932766665431464,100,0,0.587567533778011,5,0,,10,0.0439999999999998
"002",10,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260730,"cats_robust",-0.00625353357307491,-0.00625353357307491,0,0,0.0360707424086352,100,0,0.299124790101625,5,0,,10,0.0700000000000003
"002",10,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260730,"cats_robustbase",-0.00317081824541141,-0.00317081824541141,0,0,0.0307700130583562,100,0,0.290275271176499,5,0,,10,0.13
"003",10,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260731,"ri",-0.859094866379793,-0.859094866379793,100,0,0.859497845445053,0,0,0.10874401032513,5,0,0,10,0.675999999999999
"003",10,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260731,"cr2",-0.857699735680409,-0.857699735680409,100,0,0.858457126827478,0,0,0.108579243067705,5,0,,10,0.045999999999998
"003",10,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260731,"cats",-0.859887837110191,-0.859887837110191,100,0,0.860265821193843,0,0,0.0919653457575772,5,0,,10,0.0300000000000011
"003",10,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260731,"cats_trunc",-0.859887837110191,-0.859887837110191,100,0,0.860265821193843,0,0,0.0919653457575772,5,0,,10,0.0339999999999989
"003",10,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260731,"cats_robust",-0.0763557698207449,-0.0763557698207449,0,0,0.103914538429327,100,0,0.418268853875834,5,0,,10,0.0579999999999998
"003",10,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260731,"cats_robustbase",-0.0969743569633995,-0.0969743569633995,0,0,0.112815347303207,100,0,0.467633630123471,5,0,,10,0.126000000000001
"004",10,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260732,"ri",0.219403212436869,0.0194032124368688,100,0,0.0423033486994299,100,0,0.202492256726103,5,0,0,10,0.678000000000001
"004",10,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260732,"cr2",0.188892008179305,-0.0111079918206948,60,21.9089023002066,0.0717218835694579,100,0,0.322911926618327,5,0,,10,0.0539999999999978
"004",10,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260732,"cats",0.218872503767738,0.0188725037677376,100,0,0.0441247561266051,100,0,0.223655060602375,5,0,,10,0.0320000000000022
"004",10,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260732,"cats_trunc",0.218872503767738,0.0188725037677376,100,0,0.0441247561266051,100,0,0.223655060602375,5,0,,10,0.0420000000000002
"004",10,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260732,"cats_robust",0.219841009988333,0.0198410099883329,100,0,0.0451636341785463,100,0,0.24549399243344,5,0,,10,0.0619999999999976
"004",10,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260732,"cats_robustbase",0.21391423110244,0.0139142311024402,100,0,0.0445086505895501,100,0,0.237193086969895,5,0,,10,0.132000000000001
"005",10,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260733,"ri",0.22064996153088,0.0206499615308802,40,21.9089023002066,0.127756471201897,100,0,0.475026924994843,5,0,0,10,0.680000000000001
"005",10,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260733,"cr2",0.247901911201904,0.0479019112019043,60,21.9089023002066,0.147106546179587,100,0,0.500231674426088,5,0,,10,0.0600000000000009
"005",10,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260733,"cats",0.215035187129654,0.015035187129654,60,21.9089023002066,0.150006687731788,100,0,0.500512829396729,5,0,,10,0.0379999999999981
"005",10,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260733,"cats_trunc",0.215035187129654,0.015035187129654,60,21.9089023002066,0.150006687731788,100,0,0.500512829396729,5,0,,10,0.0360000000000014
"005",10,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260733,"cats_robust",0.173443594371212,-0.0265564056287878,80,17.8885438199983,0.0738906686471137,80,17.8885438199983,0.22910988072457,5,0,,10,0.0599999999999994
"005",10,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260733,"cats_robustbase",0.173726218183667,-0.0262737818163327,80,17.8885438199983,0.067190081266633,80,17.8885438199983,0.223332646491085,5,0,,10,0.124000000000001
"006",10,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260734,"ri",-0.814873233812913,-1.01487323381291,100,0,1.01511131483287,0,0,0.118568258628574,5,0,0,10,0.666000000000001
"006",10,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260734,"cr2",-0.810470744080169,-1.01047074408017,100,0,1.01064096046151,0,0,0.142734981713909,5,0,,10,0.0699999999999989
"006",10,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260734,"cats",-0.815704303428684,-1.01570430342868,100,0,1.01595328317456,0,0,0.10035432540489,5,0,,10,0.0219999999999999
"006",10,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260734,"cats_trunc",-0.815704303428684,-1.01570430342868,100,0,1.01595328317456,0,0,0.10035432540489,5,0,,10,0.0319999999999979
"006",10,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260734,"cats_robust",0.181328615738791,-0.0186713842612086,60,21.9089023002066,0.0412663831251392,100,0,0.286673508736994,5,0,,10,0.0720000000000013
"006",10,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260734,"cats_robustbase",0.1740618115595,-0.0259381884404998,60,21.9089023002066,0.0448806696417809,100,0,0.293700965593554,5,0,,10,0.117999999999999
"007",20,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260735,"ri",0.00401989190916219,0.00401989190916219,0,0,0.0295145237636654,100,0,0.142715052344136,5,0,0,20,0.722000000000003
"007",20,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260735,"cr2",0.0105963900235564,0.0105963900235564,0,0,0.0359308102638013,100,0,0.191455999534327,5,0,,20,0.101999999999998
"007",20,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260735,"cats",0.00545759437493041,0.00545759437493041,20,17.8885438199983,0.0338158173309477,80,17.8885438199983,0.149709662947137,5,0,,20,0.146000000000001
"007",20,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260735,"cats_trunc",0.00545759437493041,0.00545759437493041,20,17.8885438199983,0.0338158173309477,80,17.8885438199983,0.149709662947137,5,0,,20,0.0639999999999986
"007",20,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260735,"cats_robust",0.00104992169850692,0.00104992169850692,0,0,0.0205616870903284,100,0,0.176121948459407,5,0,,20,0.131999999999999
"007",20,40,0,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260735,"cats_robustbase",0.00189324317310335,0.00189324317310335,0,0,0.0266563044285791,100,0,0.155775536429418,5,0,,20,0.235999999999999
"008",20,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260736,"ri",0.0330989678235766,0.0330989678235766,0,0,0.102745961953711,100,0,0.340073097441314,5,0,0,20,0.834
"008",20,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260736,"cr2",0.0316565429274197,0.0316565429274197,0,0,0.0942872662713553,100,0,0.384588042222118,5,0,,20,0.166000000000005
"008",20,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260736,"cats",0.0332043750113467,0.0332043750113467,0,0,0.101550062364299,100,0,0.348472837776391,5,0,,20,0.107999999999998
"008",20,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260736,"cats_trunc",0.0332043750113467,0.0332043750113467,0,0,0.101550062364299,100,0,0.348472837776391,5,0,,20,0.0920000000000016
"008",20,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260736,"cats_robust",0.00369301752364939,0.00369301752364939,20,17.8885438199983,0.0571425104256506,80,17.8885438199983,0.170221799364568,5,0,,20,0.195999999999998
"008",20,40,0,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260736,"cats_robustbase",0.00422224837153102,0.00422224837153102,20,17.8885438199983,0.0541711281799135,80,17.8885438199983,0.166569288056208,5,0,,20,0.392000000000002
"009",20,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260737,"ri",-0.843757976472743,-0.843757976472743,100,0,0.843893123406204,0,0,0.0777813977599816,5,0,0,20,0.731999999999996
"009",20,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260737,"cr2",-0.842286880921082,-0.842286880921082,100,0,0.842317191341429,0,0,0.0784476393014526,5,0,,20,0.110000000000002
"009",20,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260737,"cats",-0.844849182279497,-0.844849182279497,100,0,0.844994699776942,0,0,0.0706321343508361,5,0,,20,0.0720000000000027
"009",20,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260737,"cats_trunc",-0.844849182279497,-0.844849182279497,100,0,0.844994699776942,0,0,0.0706321343508361,5,0,,20,0.0599999999999966
"009",20,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260737,"cats_robust",-0.0128453770194347,-0.0128453770194347,0,0,0.064060361569726,100,0,0.212728223398036,5,0,,20,0.146000000000001
"009",20,40,0,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260737,"cats_robustbase",-0.0220959710649603,-0.0220959710649603,0,0,0.064853994829887,100,0,0.23450739898431,5,0,,20,0.244000000000005
"010",20,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260738,"ri",0.195925400691657,-0.00407459930834256,100,0,0.0294152051412238,100,0,0.138336354659016,5,0,0,20,0.729999999999998
"010",20,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260738,"cr2",0.195543045731382,-0.00445695426861839,80,17.8885438199983,0.051237261266257,100,0,0.21277548085307,5,0,,20,0.0939999999999998
"010",20,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260738,"cats",0.198438776250653,-0.00156122374934662,100,0,0.0197727744376955,100,0,0.170581817877118,5,0,,20,0.0619999999999976
"010",20,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260738,"cats_trunc",0.198438776250653,-0.00156122374934662,100,0,0.0197727744376955,100,0,0.170581817877118,5,0,,20,0.0620000000000005
"010",20,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260738,"cats_robust",0.17740044140751,-0.0225995585924902,100,0,0.0403584452005324,100,0,0.183242773994502,5,0,,20,0.124000000000004
"010",20,40,0.2,0,1,1,1,"none",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260738,"cats_robustbase",0.187979901560435,-0.0120200984395646,100,0,0.0277861313815731,100,0,0.174448208711126,5,0,,20,0.242000000000002
"011",20,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260739,"ri",0.181173646638654,-0.0188263533613457,40,21.9089023002066,0.104254586466584,100,0,0.347463440573126,5,0,0,20,0.719999999999999
"011",20,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260739,"cr2",0.161724293506772,-0.0382757064932276,20,17.8885438199983,0.0949741825074175,100,0,0.404809950230634,5,0,,20,0.0939999999999998
"011",20,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260739,"cats",0.172238521746719,-0.0277614782532809,40,21.9089023002066,0.103677790098248,80,17.8885438199983,0.397929868522577,5,0,,20,0.0659999999999997
"011",20,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260739,"cats_trunc",0.172238521746719,-0.0277614782532809,40,21.9089023002066,0.103677790098248,80,17.8885438199983,0.397929868522577,5,0,,20,0.0520000000000039
"011",20,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260739,"cats_robust",0.19405142963166,-0.00594857036834004,100,0,0.0502761940909705,100,0,0.172112456913578,5,0,,20,0.132000000000002
"011",20,40,0.2,0,1,1,1,"vertical",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260739,"cats_robustbase",0.190673456661627,-0.00932654333837316,100,0,0.0487620051331439,100,0,0.169718394404663,5,0,,20,0.257999999999998
"012",20,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260740,"ri",-0.820945638380539,-1.02094563838054,100,0,1.02098298028692,0,0,0.0817874306232006,5,0,0,20,0.871999999999994
"012",20,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260740,"cr2",-0.824235590777006,-1.02423559077701,100,0,1.02445881578266,0,0,0.100549342943856,5,0,,20,0.108000000000001
"012",20,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260740,"cats",-0.821757359738246,-1.02175735973825,100,0,1.02179249315779,0,0,0.0627302304259786,5,0,,20,0.0779999999999973
"012",20,40,0.2,0,1,1,1,"bad_leverage",0.05,10,10,5,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260740,"cats_trunc",-0.821757359738246,-1.02175735973825,100,0,1.02179249315779,0,0,0.0627302304259786,5,0,,20,0.080000000000004
