"condition_id","reps_compared","estimate_exact_match_rate","maximum_absolute_estimate_difference","standard_error_exact_match_rate","maximum_absolute_p_value_difference","rejection_exact_match_rate","coverage_exact_match_rate","fit_success_exact_match_rate","mean_retained_cluster_difference","minimum_truncated_retained_clusters"
"S1C001",2000,99.3,0.0502854866784541,99.3,0.505960863485958,100,100,100,-0.009,7
"S1C002",2000,99.5,0.10190186378714,99.5,0.622759286955576,99.95,99.95,100,-0.007,8
"S1C003",2000,99.45,0.0449314420606565,99.45,0.821485886632319,100,100,100,-0.008,7
"S1C004",2000,99.25,0.0608536753343664,99.25,0.619358813824463,99.95,99.8,100,-0.0095,7
"S1C005",2000,99.45,0.10190186378714,99.45,0.493884171690841,99.9,99.9,100,-0.007,8
"S1C006",2000,99.5,0.0462574333559121,99.5,0.566923358212008,100,99.8,100,-0.007,7
"S1C007",2000,99.9,0.0331425310151257,99.9,0.696599354498053,100,100,100,-0.001,19
"S1C008",2000,99.95,0.059892574350534,99.95,0.86559443060941,99.95,99.95,100,-5e-04,19
"S1C009",2000,100,0,100,0,100,100,100,0,20
"S1C010",2000,99.95,0.0331425310151257,99.95,0.0252661279870737,100,100,100,-5e-04,19
"S1C011",2000,99.95,0.059892574350534,99.95,0.110251743990559,99.95,99.95,100,-5e-04,19
"S1C012",2000,100,0,100,0,100,100,100,0,20
"S1C013",2000,99.95,0.0151997394642962,99.95,0.0841796474199659,100,100,100,-5e-04,39
"S1C014",2000,100,0,100,0,100,100,100,0,40
"S1C015",2000,100,0,100,0,100,100,100,0,40
"S1C016",2000,99.95,0.0151997394642962,99.95,5.7629006419625e-05,100,100,100,-5e-04,39
"S1C017",2000,100,0,100,0,100,100,100,0,40
"S1C018",2000,100,0,100,0,100,100,100,0,40
