"condition_id","n_clusters","cluster_size","beta","effect_label","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","common_random_number_group","status","condition_error","started_at","completed_at","elapsed_sec"
"S1C001",10,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","complete",,"2026-07-29 14:46:49.818408","2026-07-29 15:08:38.30992",1308.49151206017
"S1C002",10,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","complete",,"2026-07-29 15:08:40.873473","2026-07-29 15:29:16.71418",1235.84070706367
"S1C003",10,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","complete",,"2026-07-29 15:29:20.109334","2026-07-29 15:49:46.015335",1225.906001091
"S1C004",10,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","complete",,"2026-07-29 15:49:48.442579","2026-07-29 16:10:08.659326",1220.21674704552
"S1C005",10,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","complete",,"2026-07-29 16:10:11.302953","2026-07-29 16:30:36.388034",1225.08508110046
"S1C006",10,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","complete",,"2026-07-29 16:30:38.976012","2026-07-29 16:51:01.300221",1222.32420897484
"S1C007",20,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","complete",,"2026-07-29 16:51:04.064625","2026-07-29 17:22:54.753373",1910.68874788284
"S1C008",20,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","complete",,"2026-07-29 17:22:58.876941","2026-07-29 17:54:32.598649",1893.72170805931
"S1C009",20,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","complete",,"2026-07-29 17:54:35.9188","2026-07-29 18:26:19.223605",1903.30480480194
"S1C010",20,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","complete",,"2026-07-29 18:26:22.677591","2026-07-29 19:05:54.104763",2371.42717194557
"S1C011",20,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","complete",,"2026-07-29 19:05:58.511065","2026-07-29 19:51:38.234532",2739.72346711159
"S1C012",20,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","complete",,"2026-07-29 19:51:43.885069","2026-07-29 20:37:09.690017",2725.80494809151
"S1C013",40,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","complete",,"2026-07-29 20:37:15.1938","2026-07-29 21:56:57.950806",4782.75700592995
"S1C014",40,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","complete",,"2026-07-29 21:57:07.243671","2026-07-29 23:15:19.581426",4692.33775496483
"S1C015",40,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","complete",,"2026-07-29 23:15:26.441606","2026-07-30 00:33:38.059336",4691.61772990227
"S1C016",40,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","complete",,"2026-07-30 00:33:44.605024","2026-07-30 01:52:06.084444",4701.47941994667
"S1C017",40,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","complete",,"2026-07-30 01:52:13.61603","2026-07-30 03:10:53.714102",4720.098072052
"S1C018",40,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","complete",,"2026-07-30 03:11:00.912524","2026-07-30 04:29:16.319315",4695.40679097176
