"condition_id","n_clusters","cluster_size","beta","effect_label","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","common_random_number_group"
"S1C001",10,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10"
"S1C002",10,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10"
"S1C003",10,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10"
"S1C004",10,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10"
"S1C005",10,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10"
"S1C006",10,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10"
"S1C007",20,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20"
"S1C008",20,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20"
"S1C009",20,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20"
"S1C010",20,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20"
"S1C011",20,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20"
"S1C012",20,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20"
"S1C013",40,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40"
"S1C014",40,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40"
"S1C015",40,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40"
"S1C016",40,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40"
"S1C017",40,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40"
"S1C018",40,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40"
