"condition_id","n_clusters","cluster_size","beta","effect_label","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","requested_reps","observed_reps","successful_reps","fit_success_rate","failure_rate","overall_warning_field_rate","error_rep_rate","singular_rate","template_warning_rate","cluster_warning_rep_rate","cluster_error_rep_rate","dropped_cluster_rep_rate","mean_cluster_warning_count","maximum_cluster_warning_count","mean_cluster_error_count","maximum_cluster_error_count","mean_dropped_cluster_count","maximum_dropped_cluster_count","mean_retained_clusters","minimum_retained_clusters","mean_runtime_sec","method_label","method_order"
"S1C001",10,40,0,"Null","none","Clean",0.05,0,0,2000,20260815,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,10,10,0.283959999999999,"Random intercept (KR)",1
"S1C001",10,40,0,"Null","none","Clean",0.05,0,0,2000,20260815,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0552250000000009,"OLS with CR2",2
"S1C001",10,40,0,"Null","none","Clean",0.05,0,0,2000,20260815,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0339450000000001,"CATs",3
"S1C001",10,40,0,"Null","none","Clean",0.05,0,0,2000,20260815,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,9.991,7,0.0353099999999999,"Truncated CATs",4
"S1C001",10,40,0,"Null","none","Clean",0.05,0,0,2000,20260815,"cats_robust",2000,2000,2000,100,0,100,0,,0.9,2.55,0,0,0.026,2,0,0,0,0,10,10,0.0711750000000012,"Robust CATs: lmRob",5
"S1C001",10,40,0,"Null","none","Clean",0.05,0,0,2000,20260815,"cats_robustbase",2000,2000,2000,100,0,100,0,,0.1,3.9,0,0,0.04,2,0,0,0,0,10,10,0.139314999999999,"Robust CATs: lmrob",6
"S1C002",10,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260815,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,10,10,0.268040000000001,"Random intercept (KR)",1
"S1C002",10,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0529100000000012,"OLS with CR2",2
"S1C002",10,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0316399999999992,"CATs",3
"S1C002",10,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,9.993,8,0.0322500000000006,"Truncated CATs",4
"S1C002",10,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cats_robust",2000,2000,2000,100,0,100,0,,0.5,2.05,0,0,0.0205,1,0,0,0,0,10,10,0.0667499999999985,"Robust CATs: lmRob",5
"S1C002",10,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cats_robustbase",2000,2000,2000,100,0,100,0,,0.1,2.55,0,0,0.0255,1,0,0,0,0,10,10,0.130534999999997,"Robust CATs: lmrob",6
"S1C003",10,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"ri",2000,2000,1999,99.95,0.05,0.05,0,0,0,,,,,,,,,,10,10,0.266500000000001,"Random intercept (KR)",1
"S1C003",10,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0518150000000003,"OLS with CR2",2
"S1C003",10,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0319100000000003,"CATs",3
"S1C003",10,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,9.992,7,0.0325900000000036,"Truncated CATs",4
"S1C003",10,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cats_robust",2000,2000,2000,100,0,100,0,,1.35,1.1,0,0,0.011,1,0,0,0,0,10,10,0.0666499999999937,"Robust CATs: lmRob",5
"S1C003",10,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cats_robustbase",2000,2000,2000,100,0,100,0,,0.1,2.35,0,0,0.0245,2,0,0,0,0,10,10,0.128525000000002,"Robust CATs: lmrob",6
"S1C004",10,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260815,"ri",2000,2000,1998,99.9,0.1,0.1,0,0,0,,,,,,,,,,10,10,0.265955000000003,"Random intercept (KR)",1
"S1C004",10,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260815,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0512149999999954,"OLS with CR2",2
"S1C004",10,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260815,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0316799999999953,"CATs",3
"S1C004",10,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260815,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,9.9905,7,0.0322649999999981,"Truncated CATs",4
"S1C004",10,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260815,"cats_robust",2000,2000,2000,100,0,100,0,,0.9,2.55,0,0,0.026,2,0,0,0,0,10,10,0.0663099999999984,"Robust CATs: lmRob",5
"S1C004",10,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260815,"cats_robustbase",2000,2000,2000,100,0,100,0,,0.1,3.9,0,0,0.04,2,0,0,0,0,10,10,0.128444999999996,"Robust CATs: lmrob",6
"S1C005",10,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260815,"ri",2000,2000,1999,99.95,0.05,0.05,0,0,0,,,,,,,,,,10,10,0.266390000000002,"Random intercept (KR)",1
"S1C005",10,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0524599999999928,"OLS with CR2",2
"S1C005",10,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0318200000000129,"CATs",3
"S1C005",10,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,9.993,8,0.0329299999999967,"Truncated CATs",4
"S1C005",10,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cats_robust",2000,2000,2000,100,0,100,0,,0.5,2.05,0,0,0.0205,1,0,0,0,0,10,10,0.0656799999999944,"Robust CATs: lmRob",5
"S1C005",10,40,0.1,"Alternative","vertical","Vertical outliers",0.05,6,0,2000,20260815,"cats_robustbase",2000,2000,2000,100,0,100,0,,0.05,2.45,0,0,0.0245,1,0,0,0,0,10,10,0.129435000000004,"Robust CATs: lmrob",6
"S1C006",10,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"ri",2000,2000,1998,99.9,0.1,0.1,0,0,0,,,,,,,,,,10,10,0.265184999999999,"Random intercept (KR)",1
"S1C006",10,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0509350000000081,"OLS with CR2",2
"S1C006",10,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,10,10,0.0315949999999893,"CATs",3
"S1C006",10,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,9.993,7,0.0318499999999954,"Truncated CATs",4
"S1C006",10,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cats_robust",2000,2000,2000,100,0,100,0,,1.25,2.25,0,0,0.0225,1,0,0,0,0,10,10,0.0666900000000041,"Robust CATs: lmRob",5
"S1C006",10,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260815,"cats_robustbase",2000,2000,2000,100,0,100,0,,0.35,3.25,0,0,0.0325,1,0,0,0,0,10,10,0.129785000000006,"Robust CATs: lmrob",6
"S1C007",20,40,0,"Null","none","Clean",0.05,0,0,2000,20260816,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,20,20,0.318200000000013,"Random intercept (KR)",1
"S1C007",20,40,0,"Null","none","Clean",0.05,0,0,2000,20260816,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.0955449999999814,"OLS with CR2",2
"S1C007",20,40,0,"Null","none","Clean",0.05,0,0,2000,20260816,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.0620550000000017,"CATs",3
"S1C007",20,40,0,"Null","none","Clean",0.05,0,0,2000,20260816,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,19.999,19,0.0627400000000139,"Truncated CATs",4
"S1C007",20,40,0,"Null","none","Clean",0.05,0,0,2000,20260816,"cats_robust",2000,2000,2000,100,0,100,0,,0.5,4.15,0,0,0.043,2,0,0,0,0,20,20,0.130864999999981,"Robust CATs: lmRob",5
"S1C007",20,40,0,"Null","none","Clean",0.05,0,0,2000,20260816,"cats_robustbase",2000,2000,2000,100,0,100,0,,0,6.15,0,0,0.0625,2,0,0,0,0,20,20,0.251055000000012,"Robust CATs: lmrob",6
"S1C008",20,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260816,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,20,20,0.318015000000004,"Random intercept (KR)",1
"S1C008",20,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260816,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.0926100000000133,"OLS with CR2",2
"S1C008",20,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260816,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.0616149999999943,"CATs",3
"S1C008",20,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260816,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,19.9995,19,0.0617600000000066,"Truncated CATs",4
"S1C008",20,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260816,"cats_robust",2000,2000,2000,100,0,100,0,,0.05,4,0,0,0.041,2,0,0,0,0,20,20,0.129249999999986,"Robust CATs: lmRob",5
"S1C008",20,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260816,"cats_robustbase",2000,2000,2000,100,0,100,0,,0,6.35,0,0,0.066,2,0,0,0,0,20,20,0.248484999999991,"Robust CATs: lmrob",6
"S1C009",20,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,20,20,0.319560000000007,"Random intercept (KR)",1
"S1C009",20,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.0941300000000019,"OLS with CR2",2
"S1C009",20,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.060814999999996,"CATs",3
"S1C009",20,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.0626150000000443,"Truncated CATs",4
"S1C009",20,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"cats_robust",2000,2000,2000,100,0,100,0,,0.75,3.7,0,0,0.0375,2,0,0,0,0,20,20,0.130239999999995,"Robust CATs: lmRob",5
"S1C009",20,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"cats_robustbase",2000,2000,2000,100,0,100,0,,0.1,4.3,0,0,0.0435,2,0,0,0,0,20,20,0.249265000000007,"Robust CATs: lmrob",6
"S1C010",20,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260816,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,20,20,0.391379999999985,"Random intercept (KR)",1
"S1C010",20,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260816,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.111229999999974,"OLS with CR2",2
"S1C010",20,40,0.1,"Alternative","none","Clean",0.05,0,0,2000,20260816,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.0788800000000156,"CATs",3
