"condition_id","n_clusters","cluster_size","beta","effect_label","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","common_random_number_group","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec","method_label","method_order"
"S1C001",10,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","ri",0.000274085367333407,0.000274085367333407,5.45,0.507591124823908,0.0515983122524309,94.55,0.507591124823908,0.199315391873357,2000,0,0,10,0.283959999999999,"Random intercept (KR)",1
"S1C001",10,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cr2",0.00254121596668816,0.00254121596668816,5.3,0.50095408971282,0.0719729431779698,94.7,0.50095408971282,0.303140352072727,2000,0,,10,0.0552250000000009,"OLS with CR2",2
"S1C001",10,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cats",0.000177439068627317,0.000177439068627317,5.25,0.498717104178311,0.0526072043817319,94.75,0.498717104178311,0.227770331138891,2000,0,,10,0.0339450000000001,"CATs",3
"S1C001",10,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cats_trunc",0.000269679743520302,0.000269679743520302,5.25,0.498717104178311,0.0525903266527869,94.75,0.498717104178311,0.227784512941982,2000,0,,9.991,0.0353099999999999,"Truncated CATs",4
"S1C001",10,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cats_robust",8.69888748756563e-05,8.69888748756563e-05,5.2,0.496467521596328,0.0566847658682799,94.8,0.496467521596328,0.24719734999736,2000,0,,10,0.0711750000000012,"Robust CATs: lmRob",5
"S1C001",10,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cats_robustbase",0.000145278509529417,0.000145278509529417,5.55,0.511955808639769,0.0541892575934359,94.45,0.511955808639769,0.235416497796109,2000,0,,10,0.139314999999999,"Robust CATs: lmrob",6
"S1C002",10,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","ri",0.00196202513160689,0.00196202513160689,5.3,0.50095408971282,0.0840897436205611,94.7,0.50095408971282,0.333568382179379,2000,0,0,10,0.268040000000001,"Random intercept (KR)",1
"S1C002",10,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cr2",0.0042176678405251,0.0042176678405251,5.15,0.494205169944629,0.096860062593729,94.85,0.494205169944629,0.422578102892054,2000,0,,10,0.0529100000000012,"OLS with CR2",2
"S1C002",10,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cats",0.00108931432573721,0.00108931432573721,5.8,0.522666241496426,0.085753823343633,94.2,0.522666241496426,0.379499035335455,2000,0,,10,0.0316399999999992,"CATs",3
"S1C002",10,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260815,"G10","cats_trunc",0.00102249132464273,0.00102249132464273,5.85,0.52477495176504,0.0857558284037399,94.15,0.52477495176504,0.379180917501689,2000,0,,9.993,0.0322500000000006,"Truncated CATs",4
