"source","message","count"
"cluster_warning","S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2517
"cluster_warning","Max iteration for refinement reached.",1375
"cluster_warning","Max iteration for final coefficients reached.",246
"cluster_warning","M-step did NOT converge. Returning unconverged SM-estimate",109
"overall_warning_field","Cluster :",67921
"overall_warning_field","Cluster 4: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",114
"overall_warning_field","Cluster 6: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",111
"overall_warning_field","Cluster 5: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",107
"overall_warning_field","Cluster 1: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",105
"overall_warning_field","Cluster 2: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",105
"overall_warning_field","Cluster 9: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",104
"overall_warning_field","Cluster 8: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",99
"overall_warning_field","Cluster 7: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",95
"overall_warning_field","Cluster 10: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",94
"overall_warning_field","Cluster 16: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",88
"overall_warning_field","Cluster 3: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",84
"overall_warning_field","Cluster 19: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",75
"overall_warning_field","Cluster 20: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",73
"overall_warning_field","Cluster 15: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",72
"overall_warning_field","Cluster 3: Max iteration for refinement reached.",71
"overall_warning_field","Cluster 6: Max iteration for refinement reached.",69
"overall_warning_field","Cluster 17: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",67
"overall_warning_field","Cluster 1: Max iteration for refinement reached.",66
"overall_warning_field","Cluster 11: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",66
"overall_warning_field","Cluster 18: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",62
"overall_warning_field","Cluster 10: Max iteration for refinement reached.",60
"overall_warning_field","Cluster 9: Max iteration for refinement reached.",57
"overall_warning_field","Cluster 13: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",56
"overall_warning_field","Cluster 12: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",53
"overall_warning_field","Cluster 2: Max iteration for refinement reached.",53
"overall_warning_field","Cluster 37: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",52
"overall_warning_field","Cluster 5: Max iteration for refinement reached.",52
"overall_warning_field","Cluster 8: Max iteration for refinement reached.",51
"overall_warning_field","Cluster 4: Max iteration for refinement reached.",49
"overall_warning_field","Cluster 7: Max iteration for refinement reached.",47
"overall_warning_field","Cluster 17: Max iteration for refinement reached.",45
"overall_warning_field","Cluster 14: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",44
"overall_warning_field","Cluster 13: Max iteration for refinement reached.",42
"overall_warning_field","Cluster 34: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",42
"overall_warning_field","Cluster 15: Max iteration for refinement reached.",40
"overall_warning_field","Cluster 33: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",40
"overall_warning_field","Cluster 19: Max iteration for refinement reached.",39
