"model","condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec","clean_mean_coef","clean_bias","clean_rejection_rate","clean_rmse","clean_coverage","clean_avg_ci_width","clean_failure_rate","rmse_difference","rmse_ratio","ci_width_difference","ci_width_ratio","absolute_bias_difference","rejection_rate_difference","coverage_difference"
"ri","PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00221161783218957,0.00221161783218957,4.4,1.29713530520143,0.0470826220111365,95.6,1.29713530520143,0.189198514333182,250,0,0,20,0.316240000000002,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.0118420255342026,1.33603362933864,0.0483481248968576,1.34325872360271,0.00127496308137206,0,0
"ri","PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00412908215746093,0.00412908215746093,2,0.885437744847146,0.0874776652511496,98,0.885437744847146,0.34489252261533,250,0,0,20,0.310879999999988,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.0522370687742157,2.48229808790003,0.204042133179006,2.4486444375168,0.00319242740664341,-2.4,2.40000000000001
"ri","PC015","bad_leverage_severity","B06",20,40,0,0,1,1,1,"bad_leverage",0.05,3,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.325672192094238,-0.325672192094238,100,0,0.326431971650305,0,0,0.0911521648949036,250,0,0,20,0.306439999999981,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.291191375173371,9.26295251171374,-0.0496982245414206,0.647155930911442,0.32473553734342,95.6,-95.6
"ri","PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.107225812651827,-0.107225812651827,99.2,0.563418139573089,0.109409217808526,0.8,0.563418139573088,0.0855646543436717,250,0,0,20,0.310279999999995,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.0741686213315919,3.10463581058106,-0.0552857350926525,0.607486104128621,0.10628915790101,94.8,-94.8
"ri","PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.226740779260812,-0.226740779260812,100,0,0.228387903321441,0,0,0.111961754014875,250,0,0,20,0.309200000000013,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.193147306844507,6.48081832187284,-0.0288886354214493,0.794898434167913,0.225804124509994,95.6,-95.6
"ri","PC014","bad_leverage_severity","B05",20,40,0,0,1,1,1,"bad_leverage",0.05,2,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.216448808260189,-0.216448808260189,100,0,0.217556899732438,0,0,0.0876983164931379,250,0,0,20,0.309519999999988,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.182316303255505,6.17347381945809,-0.0531520729431863,0.622634533309435,0.215512153509372,95.6,-95.6
"ri","PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00284118190840542,0.00284118190840542,2.8,1.04337912572564,0.0591394530929212,97.2,1.04337912572564,0.235876095792116,250,0,0,20,0.31112,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.0238988566159873,1.6781626591261,0.0950257063557914,1.67465703670454,0.0019045271575879,-1.6,1.60000000000001
"ri","PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.112235795988152,-0.112235795988152,98,0.885437744847146,0.115429720138056,2,0.885437744847146,0.107808320363849,250,0,0,20,0.31019999999999,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.080189123661122,3.27547577730724,-0.0330420690724747,0.76541016886991,0.111299141237334,93.6,-93.6
"ri","PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00347787144716129,0.00347787144716129,1.6,0.793574193128784,0.0728623864379176,98.4,0.793574193128784,0.288728400607185,250,0,0,20,0.311600000000004,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.0376217899609837,2.06756961351685,0.147878011170861,2.04989423005971,0.00254121669634378,-2.8,2.80000000000001
"ri","PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.341246643389277,-0.341246643389277,100,0,0.342402392626434,0,0,0.118581112221131,250,0,0,20,0.308760000000015,0.000936654750817512,0.000936654750817512,4.4,0.0352405964769339,95.6,0.140850389436324,0,0.3071617961495,9.71613499364426,-0.0222692772151928,0.841894102641013,0.34030998863846,95.6,-95.6
"cr2","PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.000867194689406368,0.000867194689406368,4.4,1.29713530520143,0.0579328957927747,95.6,1.29713530520143,0.247476369998418,250,0,,20,0.0917999999999984,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.0107788490443024,1.22858799588927,0.0413752531484063,1.20075220251483,-0.000122877133811689,0.399999999999999,-0.400000000000006
"cr2","PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.0017958279457186,0.0017958279457186,3.6,1.17820202002882,0.0685597150854313,96.4,1.17820202002882,0.289865118842866,250,0,,20,0.0845200000000023,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.021405668336959,1.45395188351788,0.0837640019928545,1.40642187326822,0.00080575612250054,-0.4,0.399999999999991
"cr2","PC015","bad_leverage_severity","B06",20,40,0,0,1,1,1,"bad_leverage",0.05,3,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.325869000314672,-0.325869000314672,100,0,0.32710799764186,0,0,0.125495063844806,250,0,,20,0.0880800000000218,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.279953950893387,6.9370079600317,-0.0806060530052055,0.608900455091343,0.324878928491454,96,-96
"cr2","PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00272446120203079,0.00272446120203079,2.4,0.967966941584267,0.081013698216006,97.6,0.967966941584268,0.340132297937879,250,0,,20,0.089719999999993,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.0338596514675336,1.7180645947133,0.134031181087868,1.65031758748502,0.00173438937881273,-1.6,1.59999999999999
"cr2","PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.227227649154863,-0.227227649154863,100,0,0.22995937325062,0,0,0.157072701134772,250,0,,20,0.0853199999999961,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.182805326502147,4.87676857253125,-0.0490284157152402,0.762114749960718,0.226237577331645,96,-96
"cr2","PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.003653094458343,0.003653094458343,2.8,1.04337912572564,0.0945757617630026,97.2,1.04337912572564,0.39526468785893,250,0,,20,0.0919600000000155,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.0474217150145302,2.00567646436552,0.189163571008919,1.91781924280682,0.00266302263512494,-1.2,1.2
"cr2","PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.341723196999646,-0.341723196999646,100,0,0.343568325538824,0,0,0.159959720649144,250,0,,20,0.0887599999999911,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.296414278790352,7.28608357563616,-0.0461413962008678,0.776122531958685,0.340733125176428,96,-96
"cr2","PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.107469988937041,-0.107469988937041,90.8,1.82796061226712,0.111181785482111,9.2,1.82796061226712,0.123261458392125,250,0,,20,0.0889599999999991,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.064027738733639,2.35784186403287,-0.0828396584578866,0.598063029817677,0.106479917113823,86.8,-86.8
"cr2","PC014","bad_leverage_severity","B05",20,40,0,0,1,1,1,"bad_leverage",0.05,2,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.216669494625856,-0.216669494625856,100,0,0.218523830311732,0,0,0.124124629984281,250,0,,20,0.0924400000000078,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.171369783563259,4.63425401169436,-0.0819764868657306,0.602251127414374,0.215679422802638,96,-96
"cr2","PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.112732101310079,-0.112732101310079,82.8,2.38676349896675,0.118152053320167,17.2,2.38676349896675,0.155258479708372,250,0,,20,0.094559999999994,-0.000990071823218057,-0.000990071823218057,4,0.0471540467484724,96,0.206101116850012,0,0.0709980065716949,2.50566094465678,-0.05084263714164,0.753312170653397,0.111742029486861,78.8,-78.8
"cats","PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00239955510516568,0.00239955510516568,3.6,1.17820202002882,0.0729871598837517,96.4,1.17820202002882,0.312944196121081,250,0,,20,0.0602800000000097,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0363531849765498,1.99233525896757,0.161624649169352,2.06810159312008,0.00148320084734579,-1.2,1.2
"cats","PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00202875489332923,0.00202875489332923,3.6,1.17820202002882,0.0592461643697732,96.4,1.17820202002882,0.254987418716971,250,0,,20,0.0614399999999987,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0226121894625714,1.61724640910113,0.103667871765241,1.68509240117082,0.00111240063550934,-1.2,1.2
"cats","PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.113903158112734,-0.113903158112734,96,1.23935467078637,0.117200501635131,4,1.23935467078637,0.114000030437112,250,0,,20,0.0599199999999983,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0805665267279294,3.19922972956153,-0.0373195165146176,0.753372797722409,0.112986803854914,91.2,-91.2
"cats","PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00165795468149279,0.00165795468149279,3.2,1.11312173637927,0.0473313418607833,96.8,1.11312173637927,0.203776877460103,250,0,,20,0.0613199999999952,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0106973669535814,1.29200672273973,0.0524573305083735,1.34666592363713,0.000741600423672895,-1.6,1.60000000000001
"cats","PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00277035531700213,0.00277035531700213,2.4,0.967966941584267,0.0877001052932136,97.6,0.967966941584268,0.374505744360845,250,0,,20,0.060560000000005,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0510661303860117,2.39395548846032,0.223186197409115,2.47493302686341,0.00185400105918224,-2.4,2.40000000000001
"cats","PC014","bad_leverage_severity","B05",20,40,0,0,1,1,1,"bad_leverage",0.05,2,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.217746139567707,-0.217746139567707,100,0,0.218881283958561,0,0,0.0913528616452753,250,0,,20,0.0616800000000112,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.182247309051359,5.97481666985394,-0.0599666853064543,0.603708268267658,0.216829785309888,95.2,-95.2
"cats","PC015","bad_leverage_severity","B06",20,40,0,0,1,1,1,"bad_leverage",0.05,3,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.327615822443801,-0.327615822443801,100,0,0.328394178388909,0,0,0.0931442305822529,250,0,,20,0.059559999999994,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.291760203481707,8.96419728464546,-0.0581753163694766,0.615546586403445,0.326699468185981,95.2,-95.2
"cats","PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.107876456691614,-0.107876456691614,99.2,0.563418139573089,0.110112394557559,0.8,0.563418139573088,0.090248681150709,250,0,,20,0.0573199999999997,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0734784196503571,3.00574520882559,-0.0610708658010206,0.596411256633606,0.106960102433794,94.4,-94.4
"cats","PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.230074523896394,-0.230074523896394,100,0,0.231776522233579,0,0,0.116423558967391,250,0,,20,0.0567600000000039,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.195142547326378,6.32681882926153,-0.0348959879843383,0.769388762474487,0.229158169638574,95.2,-95.2
