"condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed"
"PC001","contamination_reference","R01",20,40,0,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC002","effect_size","E01",20,40,0.06,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801
"PC003","effect_size","E02",20,40,0.08,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801
"PC004","effect_size","E03",20,40,0.1,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801
"PC005","effect_size","E04",20,40,0.12,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801
"PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC014","bad_leverage_severity","B05",20,40,0,0,1,1,1,"bad_leverage",0.05,2,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
"PC015","bad_leverage_severity","B06",20,40,0,0,1,1,1,"bad_leverage",0.05,3,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802
