"condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","contamination","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","warning_count","warning_rate","error_count","error_rate","failure_count","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"PC001","contamination_reference","R01",20,40,0,"none",0.05,0,0,250,20260802,"ri",0,0,0,0,0,0,0,20,0.521879999999999
"PC001","contamination_reference","R01",20,40,0,"none",0.05,0,0,250,20260802,"cr2",0,0,0,0,0,0,,20,0.13616
"PC001","contamination_reference","R01",20,40,0,"none",0.05,0,0,250,20260802,"cats",0,0,0,0,0,0,,20,0.103360000000002
"PC001","contamination_reference","R01",20,40,0,"none",0.05,0,0,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.105959999999997
"PC001","contamination_reference","R01",20,40,0,"none",0.05,0,0,250,20260802,"cats_robust",3,1.2,0,0,0,0,,20,0.205800000000003
"PC001","contamination_reference","R01",20,40,0,"none",0.05,0,0,250,20260802,"cats_robustbase",0,0,0,0,0,0,,20,0.486520000000002
"PC002","effect_size","E01",20,40,0.06,"none",0.05,0,0,250,20260801,"ri",1,0.4,0,0,1,0.4,0,20,0.378120000000005
"PC002","effect_size","E01",20,40,0.06,"none",0.05,0,0,250,20260801,"cr2",0,0,0,0,0,0,,20,0.104599999999997
"PC002","effect_size","E01",20,40,0.06,"none",0.05,0,0,250,20260801,"cats",0,0,0,0,0,0,,20,0.0734000000000005
"PC002","effect_size","E01",20,40,0.06,"none",0.05,0,0,250,20260801,"cats_trunc",0,0,0,0,0,0,,20,0.0798799999999978
"PC002","effect_size","E01",20,40,0.06,"none",0.05,0,0,250,20260801,"cats_robust",2,0.8,0,0,0,0,,20,0.151800000000002
"PC002","effect_size","E01",20,40,0.06,"none",0.05,0,0,250,20260801,"cats_robustbase",0,0,0,0,0,0,,20,0.305639999999997
"PC003","effect_size","E02",20,40,0.08,"none",0.05,0,0,250,20260801,"ri",0,0,0,0,0,0,0,20,0.374679999999998
"PC003","effect_size","E02",20,40,0.08,"none",0.05,0,0,250,20260801,"cr2",0,0,0,0,0,0,,20,0.0984399999999991
"PC003","effect_size","E02",20,40,0.08,"none",0.05,0,0,250,20260801,"cats",0,0,0,0,0,0,,20,0.0686400000000044
"PC003","effect_size","E02",20,40,0.08,"none",0.05,0,0,250,20260801,"cats_trunc",0,0,0,0,0,0,,20,0.0677199999999957
"PC003","effect_size","E02",20,40,0.08,"none",0.05,0,0,250,20260801,"cats_robust",2,0.8,0,0,0,0,,20,0.143880000000005
"PC003","effect_size","E02",20,40,0.08,"none",0.05,0,0,250,20260801,"cats_robustbase",0,0,0,0,0,0,,20,0.261400000000002
