"condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","status","condition_error","started_at","completed_at","elapsed_sec"
"PC001","contamination_reference","R01",20,40,0,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 16:57:16.909341","2026-07-28 17:03:55.908994",398.999652862549
"PC002","effect_size","E01",20,40,0.06,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"complete",,"2026-07-28 17:03:55.975453","2026-07-28 17:08:38.294653",282.31920003891
"PC003","effect_size","E02",20,40,0.08,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"complete",,"2026-07-28 17:08:38.326214","2026-07-28 17:12:57.84836",259.522145986557
"PC004","effect_size","E03",20,40,0.1,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"complete",,"2026-07-28 17:12:57.871253","2026-07-28 17:16:49.785421",231.914167881012
"PC005","effect_size","E04",20,40,0.12,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"complete",,"2026-07-28 17:16:49.817419","2026-07-28 17:20:37.314777",227.497357845306
"PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:20:37.361125","2026-07-28 17:24:28.420788",231.059663057327
"PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:24:28.443101","2026-07-28 17:28:13.126899",224.683798074722
"PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:28:13.150788","2026-07-28 17:32:00.326797",227.176008939743
"PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:32:00.348608","2026-07-28 17:35:45.551754",225.203145980835
"PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:35:45.57562","2026-07-28 17:39:29.512826",223.937206029892
"PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:39:29.535224","2026-07-28 17:43:13.86878",224.333555936813
"PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:43:13.893924","2026-07-28 17:46:58.717167",224.823242902756
"PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:46:58.738981","2026-07-28 17:50:41.752778",223.013797044754
"PC014","bad_leverage_severity","B05",20,40,0,0,1,1,1,"bad_leverage",0.05,2,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:50:41.774793","2026-07-28 17:54:29.95111",228.176316976547
"PC015","bad_leverage_severity","B06",20,40,0,0,1,1,1,"bad_leverage",0.05,3,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"complete",,"2026-07-28 17:54:32.857536","2026-07-28 17:58:17.956224",225.098687887192
