"condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"PC001","contamination_reference","R01",20,40,0,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",0.000936654750817512,0.000936654750817512,4.4,1.29713530520143,0.0352405964769339,95.6,1.29713530520143,0.140850389436324,250,0,0,20,0.521879999999999
"PC001","contamination_reference","R01",20,40,0,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",-0.000990071823218057,-0.000990071823218057,4,1.23935467078637,0.0471540467484724,96,1.23935467078637,0.206101116850012,250,0,,20,0.13616
"PC001","contamination_reference","R01",20,40,0,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",0.000916354257819891,0.000916354257819891,4.8,1.35197633115377,0.0366339749072019,95.2,1.35197633115377,0.15131954695173,250,0,,20,0.103360000000002
"PC001","contamination_reference","R01",20,40,0,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",0.000916354257819891,0.000916354257819891,4.8,1.35197633115377,0.0366339749072019,95.2,1.35197633115377,0.15131954695173,250,0,,20,0.105959999999997
"PC001","contamination_reference","R01",20,40,0,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",0.00272509182996003,0.00272509182996003,5.6,1.45415267424023,0.0408770295999841,94.4,1.45415267424023,0.163624520410419,250,0,,20,0.205800000000003
"PC001","contamination_reference","R01",20,40,0,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",0.00205418656132608,0.00205418656132608,6,1.50199866844149,0.0380846872889087,94,1.50199866844149,0.155539398125103,250,0,,20,0.486520000000002
"PC002","effect_size","E01",20,40,0.06,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"ri",0.0571259200364739,-0.0028740799635261,36.5461847389558,3.05175889432359,0.0353452939544534,95.5823293172691,1.3022243158239,0.140743604678545,249,0.4,0,20,0.378120000000005
"PC002","effect_size","E01",20,40,0.06,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cr2",0.0584455710936486,-0.00155442890635138,21.2,2.58500290135234,0.0501446662237036,93.6,1.54795348767332,0.199374273548507,250,0,,20,0.104599999999997
"PC002","effect_size","E01",20,40,0.06,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats",0.0563723510464419,-0.0036276489535581,32.4,2.9598918899176,0.0368505295691286,95.2,1.35197633115377,0.150018922681755,250,0,,20,0.0734000000000005
"PC002","effect_size","E01",20,40,0.06,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_trunc",0.0563723510464419,-0.0036276489535581,32.4,2.9598918899176,0.0368505295691286,95.2,1.35197633115377,0.150018922681755,250,0,,20,0.0798799999999978
"PC002","effect_size","E01",20,40,0.06,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_robust",0.0572134184638382,-0.00278658153616179,29.2,2.87566340172142,0.0408807866106785,94.4,1.45415267424023,0.165102475459795,250,0,,20,0.151800000000002
"PC002","effect_size","E01",20,40,0.06,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_robustbase",0.0564005176656422,-0.00359948233435784,30,2.89827534923789,0.0384358909379731,94.4,1.45415267424023,0.15568254589491,250,0,,20,0.305639999999997
"PC003","effect_size","E02",20,40,0.08,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"ri",0.0770621960176794,-0.00293780398232061,58.8,3.11291503256995,0.0352945768284841,95.6,1.29713530520143,0.140718657291111,250,0,0,20,0.374679999999998
"PC003","effect_size","E02",20,40,0.08,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cr2",0.0784455710936486,-0.00155442890635137,34.4,3.00442340558051,0.0501446662237036,93.6,1.54795348767332,0.199374273548507,250,0,,20,0.0984399999999991
"PC003","effect_size","E02",20,40,0.08,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats",0.0763723510464419,-0.0036276489535581,51.6,3.16065815930796,0.0368505295691286,95.2,1.35197633115377,0.150018922681755,250,0,,20,0.0686400000000044
"PC003","effect_size","E02",20,40,0.08,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_trunc",0.0763723510464419,-0.0036276489535581,51.6,3.16065815930796,0.0368505295691286,95.2,1.35197633115377,0.150018922681755,250,0,,20,0.0677199999999957
"PC003","effect_size","E02",20,40,0.08,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_robust",0.0772134248811615,-0.00278657511883855,49.2,3.16187286271918,0.0408807870133869,94.4,1.45415267424023,0.165102455991219,250,0,,20,0.143880000000005
"PC003","effect_size","E02",20,40,0.08,0,1,1,1,"none",0.05,0,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260801,"cats_robustbase",0.0764005175873332,-0.00359948241266678,50.8,3.16187286271918,0.0384358909243638,94.4,1.45415267424023,0.155682545906124,250,0,,20,0.261400000000002
