"method","method_label","omitted_cluster","full_estimate","leave_one_out_estimate","estimate_change","fit_success","warning","error","dataset"
"rs","Random slope / KR","308",10.467285959596,9.80273204991067,-0.66455390968536,TRUE,,,"Observed"
"ri","Random intercept / KR","308",10.467285959596,9.80273204991096,-0.664553909685003,TRUE,,,"Observed"
"cr2","OLS / CR2","308",10.467285959596,9.80273204991087,-0.664553909685084,TRUE,,,"Observed"
"cats","CATs","308",10.467285959596,9.80273204991087,-0.664553909685086,TRUE,,,"Observed"
"cats_trunc","Truncated CATs","308",10.467285959596,9.80273204991087,-0.664553909685086,TRUE,,,"Observed"
"cats_robust","Robust CATs: lmRob","308",10.4177266188581,9.52574209740333,-0.89198452145474,TRUE,,,"Observed"
"cats_robustbase","Robust CATs: lmrob","308",10.0769619867008,9.18452858303156,-0.89243340366926,TRUE,"Cluster 334: M-step did NOT converge. Returning unconverged SM-estimate",,"Observed"
"robust_ri","Robust random intercept","308",10.6274709850567,10.0802559763539,-0.547215008702784,TRUE,,,"Observed"
"robust_rs","Robust random slope","308",10.6846295456918,10.0618809018756,-0.622748643816267,TRUE,,,"Observed"
"rs","Random slope / KR","309",10.467285959596,10.9499624598928,0.482676500296781,TRUE,,,"Observed"
"ri","Random intercept / KR","309",10.467285959596,10.9499624598931,0.482676500297114,TRUE,,,"Observed"
"cr2","OLS / CR2","309",10.467285959596,10.9499624598931,0.482676500297099,TRUE,,,"Observed"
"cats","CATs","309",10.467285959596,10.949962459893,0.482676500297089,TRUE,,,"Observed"
"cats_trunc","Truncated CATs","309",10.467285959596,10.949962459893,0.482676500297089,TRUE,,,"Observed"
"cats_robust","Robust CATs: lmRob","309",10.4177266188581,10.8108263219282,0.393099703070083,TRUE,,,"Observed"
"cats_robustbase","Robust CATs: lmrob","309",10.0769619867008,10.4550426141689,0.378080627468128,TRUE,"Cluster 334: M-step did NOT converge. Returning unconverged SM-estimate",,"Observed"
"robust_ri","Robust random intercept","309",10.6274709850567,11.2004351352162,0.572964150159438,TRUE,,,"Observed"
"robust_rs","Robust random slope","309",10.6846295456918,11.2861919478533,0.601562402161454,TRUE,,,"Observed"
"rs","Random slope / KR","310",10.467285959596,10.7233087344023,0.256022774806278,TRUE,,,"Observed"
"ri","Random intercept / KR","310",10.467285959596,10.7233087344028,0.256022774806876,TRUE,,,"Observed"
"cr2","OLS / CR2","310",10.467285959596,10.7233087344029,0.256022774806894,TRUE,,,"Observed"
"cats","CATs","310",10.467285959596,10.7233087344029,0.256022774806892,TRUE,,,"Observed"
"cats_trunc","Truncated CATs","310",10.467285959596,10.7233087344029,0.256022774806892,TRUE,,,"Observed"
"cats_robust","Robust CATs: lmRob","310",10.4177266188581,10.6708341383274,0.253107519469371,TRUE,,,"Observed"
"cats_robustbase","Robust CATs: lmrob","310",10.0769619867008,10.3077474707244,0.230785484023629,TRUE,"Cluster 334: M-step did NOT converge. Returning unconverged SM-estimate",,"Observed"
"robust_ri","Robust random intercept","310",10.6274709850567,10.9668873272346,0.339416342177904,TRUE,,,"Observed"
"robust_rs","Robust random slope","310",10.6846295456918,11.0477312356763,0.36310168998442,TRUE,,,"Observed"
"rs","Random slope / KR","330",10.467285959596,10.9060632085562,0.438777248960209,TRUE,,,"Observed"
"ri","Random intercept / KR","330",10.467285959596,10.9060632085562,0.438777248960223,TRUE,,,"Observed"
"cr2","OLS / CR2","330",10.467285959596,10.9060632085562,0.438777248960202,TRUE,,,"Observed"
"cats","CATs","330",10.467285959596,10.9060632085561,0.438777248960189,TRUE,,,"Observed"
"cats_trunc","Truncated CATs","330",10.467285959596,10.9060632085561,0.438777248960189,TRUE,,,"Observed"
"cats_robust","Robust CATs: lmRob","330",10.4177266188581,10.8535886124807,0.435861993622668,TRUE,,,"Observed"
"cats_robustbase","Robust CATs: lmrob","330",10.0769619867008,10.5064367490661,0.42947476236529,TRUE,"Cluster 334: M-step did NOT converge. Returning unconverged SM-estimate",,"Observed"
"robust_ri","Robust random intercept","330",10.6274709850567,11.0579700421838,0.430499057127083,TRUE,,,"Observed"
"robust_rs","Robust random slope","330",10.6846295456918,11.2034477757423,0.518818230050467,TRUE,,,"Observed"
"rs","Random slope / KR","331",10.467285959596,10.7732428520497,0.305956892453676,TRUE,,,"Observed"
"ri","Random intercept / KR","331",10.467285959596,10.7732428520499,0.305956892453949,TRUE,,,"Observed"
"cr2","OLS / CR2","331",10.467285959596,10.7732428520499,0.305956892453958,TRUE,,,"Observed"
"cats","CATs","331",10.467285959596,10.7732428520499,0.305956892453951,TRUE,,,"Observed"
"cats_trunc","Truncated CATs","331",10.467285959596,10.7732428520499,0.305956892453951,TRUE,,,"Observed"
"cats_robust","Robust CATs: lmRob","331",10.4177266188581,10.9092386748693,0.49151205601126,TRUE,,,"Observed"
"cats_robustbase","Robust CATs: lmrob","331",10.0769619867008,10.377769576416,0.30080758971517,TRUE,"Cluster 334: M-step did NOT converge. Returning unconverged SM-estimate",,"Observed"
"robust_ri","Robust random intercept","331",10.6274709850567,10.9801760031971,0.352705018140425,TRUE,,,"Observed"
"robust_rs","Robust random slope","331",10.6846295456918,11.0486799219182,0.364050376226386,TRUE,,,"Observed"
"rs","Random slope / KR","332",10.467285959596,10.5202576114072,0.0529716518111485,TRUE,,,"Observed"
"ri","Random intercept / KR","332",10.467285959596,10.5202576114081,0.0529716518121717,TRUE,,,"Observed"
"cr2","OLS / CR2","332",10.467285959596,10.5202576114082,0.0529716518122409,TRUE,,,"Observed"
"cats","CATs","332",10.467285959596,10.5202576114082,0.0529716518122409,TRUE,,,"Observed"
"cats_trunc","Truncated CATs","332",10.467285959596,10.5202576114082,0.0529716518122409,TRUE,,,"Observed"
"cats_robust","Robust CATs: lmRob","332",10.4177266188581,10.246886478261,-0.170840140597113,TRUE,,,"Observed"
"cats_robustbase","Robust CATs: lmrob","332",10.0769619867008,10.0782320493064,0.00127006260562723,TRUE,"Cluster 334: M-step did NOT converge. Returning unconverged SM-estimate",,"Observed"
"robust_ri","Robust random intercept","332",10.6274709850567,10.5907704884639,-0.0367004965928341,TRUE,,,"Observed"
"robust_rs","Robust random slope","332",10.6846295456918,10.5630562428086,-0.121573302883267,TRUE,,,"Observed"
"rs","Random slope / KR","333",10.467285959596,10.5452412834224,0.077955323826334,TRUE,,,"Observed"
"ri","Random intercept / KR","333",10.467285959596,10.5452412834225,0.0779553238264992,TRUE,,,"Observed"
"cr2","OLS / CR2","333",10.467285959596,10.5452412834225,0.0779553238265063,TRUE,,,"Observed"
"cats","CATs","333",10.467285959596,10.5452412834225,0.0779553238264992,TRUE,,,"Observed"
"cats_trunc","Truncated CATs","333",10.467285959596,10.5452412834225,0.0779553238264992,TRUE,,,"Observed"
"cats_robust","Robust CATs: lmRob","333",10.4177266188581,10.492766687347,0.0750400684889776,TRUE,,,"Observed"
"cats_robustbase","Robust CATs: lmrob","333",10.0769619867008,10.1328944132001,0.0559324264993037,TRUE,"Cluster 334: M-step did NOT converge. Returning unconverged SM-estimate",,"Observed"
"robust_ri","Robust random intercept","333",10.6274709850567,10.7288685888088,0.101397603752121,TRUE,,,"Observed"
"robust_rs","Robust random slope","333",10.6846295456918,10.7815981499398,0.096968604247996,TRUE,,,"Observed"
"rs","Random slope / KR","334",10.467285959596,10.3622356506238,-0.105050308972183,TRUE,,,"Observed"
"ri","Random intercept / KR","334",10.467285959596,10.3622356506239,-0.105050308972107,TRUE,,,"Observed"
"cr2","OLS / CR2","334",10.467285959596,10.3622356506239,-0.105050308972075,TRUE,,,"Observed"
"cats","CATs","334",10.467285959596,10.3622356506239,-0.105050308972073,TRUE,,,"Observed"
"cats_trunc","Truncated CATs","334",10.467285959596,10.3622356506239,-0.105050308972073,TRUE,,,"Observed"
"cats_robust","Robust CATs: lmRob","334",10.4177266188581,9.96488826870686,-0.452838350151206,TRUE,,,"Observed"
"cats_robustbase","Robust CATs: lmrob","334",10.0769619867008,9.93511568063322,-0.141846306067604,TRUE,,,"Observed"
"robust_ri","Robust random intercept","334",10.6274709850567,10.497517377961,-0.129953607095739,TRUE,,,"Observed"
