"cluster","comparison","slope_difference"
"308","robust - OLS",3.81676105934626
"309","robust - OLS",1.47324621212122
"310","robust - OLS",0
"330","robust - OLS",1.02140518265514e-14
"331","robust - OLS",-3.20399712121212
"332","robust - OLS",3.75524113022114
"333","robust - OLS",-5.32907051820075e-15
"334","robust - OLS",5.86283735930736
"335","robust - OLS",-1.78553272727272
"337","robust - OLS",-1.34356158645278
"349","robust - OLS",-3.5527136788005e-15
"350","robust - OLS",3.5527136788005e-15
"351","robust - OLS",0.0645786237546897
"352","robust - OLS",-4.55791409090908
"369","robust - OLS",-8.88178419700125e-15
"370","robust - OLS",-1.06581410364015e-14
"371","robust - OLS",-4.80437230750125
"372","robust - OLS",-0.16935468468469
"308","robustbase - OLS",3.48362742483585
"309","robustbase - OLS",1.3878058651972
"310","robustbase - OLS",0.0387099704203813
"330","robustbase - OLS",-0.232181700781787
"331","robustbase - OLS",-0.302785826335894
"332","robustbase - OLS",0.48860304361734
"333","robustbase - OLS",-0.0159347183327814
"334","robustbase - OLS",0.235207977728891
"335","robustbase - OLS",-0.57533187462675
"337","robustbase - OLS",-1.3548533386487
"349","robustbase - OLS",0.0953264493261763
"350","robustbase - OLS",-0.00269288903046672
"351","robustbase - OLS",0.605402991864496
"352","robustbase - OLS",-4.70126222794927
"369","robustbase - OLS",0.0434476172296314
"370","robustbase - OLS",0.0381168470293538
"371","robustbase - OLS",-6.13260905657136
"372","robustbase - OLS",-0.124428067084855
