"dataset","cluster_index","omitted_cluster","status","elapsed_sec","error"
"observed",1,"308","complete",8.7052628993988,
"observed",2,"309","complete",7.64321899414062,
"observed",3,"310","complete",9.33656811714172,
"observed",4,"330","complete",7.40754413604736,
"observed",5,"331","complete",8.8427369594574,
"observed",6,"332","complete",8.80986285209656,
"observed",7,"333","complete",8.86102199554443,
"observed",8,"334","complete",8.86199688911438,
"observed",9,"335","complete",8.82181096076965,
"observed",10,"337","complete",8.9851438999176,
"observed",11,"349","complete",9.08245420455933,
"observed",12,"350","complete",9.07544898986816,
"observed",13,"351","complete",9.03090906143188,
"observed",14,"352","complete",10.0423879623413,
"observed",15,"369","complete",9.1332471370697,
"observed",16,"370","complete",8.98656797409058,
"observed",17,"371","complete",9.23672008514404,
"observed",18,"372","complete",8.88837790489197,
