"dataset","cluster_index","omitted_cluster","status","elapsed_sec","error"
"perturbed",1,"308","complete",10.4186339378357,
"perturbed",2,"309","complete",11.6861329078674,
"perturbed",3,"310","complete",13.2815828323364,
"perturbed",4,"330","complete",10.4020440578461,
"perturbed",5,"331","complete",10.4635541439056,
"perturbed",6,"332","complete",10.2651309967041,
"perturbed",7,"333","complete",10.8693130016327,
"perturbed",8,"334","complete",10.4595148563385,
"perturbed",9,"335","complete",10.4862251281738,
"perturbed",10,"337","complete",10.924045085907,
"perturbed",11,"349","complete",10.8921258449554,
"perturbed",12,"350","complete",10.3790061473846,
"perturbed",13,"351","complete",10.6595261096954,
"perturbed",14,"352","complete",10.518746137619,
"perturbed",15,"369","complete",10.3806309700012,
"perturbed",16,"370","complete",10.8605189323425,
"perturbed",17,"371","complete",10.2935891151428,
"perturbed",18,"372","complete",10.4404599666595,
