"row_id","cluster","out","x","ols_residual","standardized_residual","leverage","cooks_distance","robust_weight","robustbase_weight"
1,"308",249.56,0,-1.84510484848456,-0.039046009455318,0.019191919191919,1.49161824064421e-05,,0.999953718874377
2,"308",258.7047,1,-3.16769080808084,-0.0668511597467217,0.0138047138047138,3.12789655067856e-05,,0.999655034898929
3,"308",250.8006,2,-21.5390767676768,-0.453633813691443,0.00976430976430977,0.00101457420448879,,0.975688234035616
4,"308",321.4398,3,38.6328372727273,0.812540591348487,0.00707070707070707,0.00235074032966564,,0.919597284342934
5,"308",356.8519,4,63.5776513131313,1.33628349420449,0.00572390572390572,0.00513987653352815,,0.79217225871337
6,"308",414.6901,5,110.948565353535,2.33193163832676,0.00572390572390572,0.01565262238725,,0.443660769713494
7,"308",382.2038,6,67.9949793939394,1.43009638084445,0.00707070707070707,0.00728190722763515,,0.767693374523835
8,"308",290.1486,7,-34.5275065656566,-0.727182722341193,0.00976430976430977,0.00260711435540206,,0.932333669015237
9,"308",430.5853,8,95.4419074747475,2.01421243097642,0.0138047138047138,0.0283952066236084,,0.573629822218727
10,"308",466.3535,9,120.742821515152,2.55515308759531,0.0191919191919192,0.0638760755509314,,0.373727692818076
11,"309",222.7339,0,-28.6712048484849,-0.60673849322372,0.0191919191919192,0.00360169947684264,,0.958355816444237
12,"309",205.2658,1,-56.6065908080808,-1.1946292975232,0.0138047138047138,0.00998851237598703,,0.836180342718379
13,"309",202.9778,2,-69.3618767676768,-1.4608282900099,0.00976430976430977,0.0105213463947473,,0.75681670696639
14,"309",204.707,3,-78.0999627272727,-1.64262825043689,0.00707070707070707,0.00960711748928457,,0.69517006436623
15,"309",207.7161,4,-85.5581486868687,-1.79827249864675,0.00572390572390572,0.00930821666942377,,0.638707086320429
16,"309",215.9618,5,-87.7797346464646,-1.84496608652629,0.00572390572390572,0.0097978831065605,,0.619919697414388
17,"309",213.6303,6,-100.578520606061,-2.11540586660192,0.00707070707070707,0.0159331606628569,,0.517922169676168
18,"309",217.7272,7,-106.948906565657,-2.2524475342562,0.00976430976430977,0.0250139539174989,,0.46471886554912
19,"309",224.2957,8,-110.847692525252,-2.33933715426308,0.0138047138047138,0.0383018830955861,,0.431174111645406
20,"309",237.3142,9,-108.296478484848,-2.29176424655221,0.0191919191919192,0.0513859340235455,,0.449539707430902
21,"310",199.0539,0,-52.3512048484849,-1.10785337819155,0.0191919191919192,0.0120079521337994,,0.860645300660271
22,"310",194.3322,1,-67.5401908080808,-1.42537272688258,0.0138047138047138,0.0142197309375501,,0.770388491251094
23,"310",234.32,2,-38.0196767676768,-0.800731208373769,0.00976430976430977,0.00316116007715875,,0.924072132924996
24,"310",232.8416,3,-49.9653627272727,-1.05089059575804,0.00707070707070707,0.0039321451219577,,0.868767547834283
25,"310",229.3074,4,-63.9668486868687,-1.34446369614293,0.00572390572390572,0.00520299775045501,,0.787868296193014
26,"310",220.4579,5,-83.2836346464646,-1.75046646135609,0.00572390572390572,0.00881988793593845,,0.653635039199779
27,"310",235.4208,6,-78.7880206060606,-1.65709974658317,0.00707070707070707,0.00977713987328692,,0.684472165607187
28,"310",255.7511,7,-68.9250065656565,-1.45162738052022,0.00976430976430977,0.0103892280694328,,0.750817670483857
29,"310",261.0125,8,-74.1308925252525,-1.56446333895042,0.0138047138047138,0.0171303118975275,,0.713617831449304
30,"310",247.5153,9,-98.0953784848485,-2.07588911762293,0.0191919191919192,0.0421611724740684,,0.531243145908763
31,"330",321.5426,0,70.1374951515152,1.48424589589457,0.0191919191919192,0.0215534148867754,,0.742982055783703
32,"330",300.4002,1,38.5278091919192,0.813093475035419,0.0138047138047138,0.0046271698472093,,0.917825818390211
33,"330",283.8565,2,11.5168232323232,0.242555449374189,0.00976430976430977,0.000290064813772923,,0.992269402457006
34,"330",285.133,3,2.32603727272725,0.0489221044713344,0.00707070707070707,8.52167148592527e-06,,0.999673797580917
35,"330",285.7973,4,-7.47694868686868,-0.157151497592566,0.00572390572390572,7.10873830553621e-05,,0.996820222521231
36,"330",297.5855,5,-6.15603464646462,-0.129388351376903,0.00572390572390572,4.81887695605419e-05,,0.99763581254115
37,"330",280.2396,6,-33.9692206060606,-0.714453624103369,0.00707070707070707,0.00181745059357124,,0.93540110801031
38,"330",318.2613,7,-6.41480656565655,-0.135102037931293,0.00976430976430977,8.99905234516263e-05,,0.99702819265757
39,"330",305.3495,8,-29.7938925252525,-0.628772310605981,0.0138047138047138,0.00276707739193857,,0.948073345996038
40,"330",354.0487,9,8.43802151515152,0.17856495696458,0.0191919191919192,0.000311958513521877,,0.9973699330792
41,"331",287.6079,0,36.2027951515151,0.766121601683511,0.0191919191919192,0.00574248396640375,,0.92605999108799
42,"331",285,1,23.1276091919192,0.488086619030049,0.0138047138047138,0.00166735583044103,,0.969316032848792
43,"331",301.8206,2,29.4809232323232,0.620896790576134,0.00976430976430977,0.00190069226655637,,0.951827384833893
44,"331",320.1153,3,37.3083372727273,0.784683201386585,0.00707070707070707,0.00219231642205905,,0.924894247284211
45,"331",316.2773,4,23.0030513131313,0.483481178546268,0.00572390572390572,0.000672844370156501,,0.971658737345256
46,"331",293.3187,5,-10.4228346464647,-0.219068518783373,0.00572390572390572,0.000138138718366576,,0.993580641715066
47,"331",290.075,6,-24.1338206060606,-0.507591734159018,0.00707070707070707,0.000917368046849399,,0.966591608630362
48,"331",334.8177,7,10.1415934343434,0.213591778150552,0.00976430976430977,0.000224927232762992,,0.995397483488654
49,"331",293.7469,8,-41.3964925252525,-0.873634360935711,0.0138047138047138,0.00534187723812043,,0.903131090941463
50,"331",371.5811,9,25.9704215151515,0.54958466174541,0.0191919191919192,0.00295510953042766,,0.967531181947815
51,"332",234.8606,0,-16.5445048484849,-0.350113920776953,0.0191919191919192,0.00119928702003831,,0.986706946596056
52,"332",242.8118,1,-19.0605908080808,-0.402255989671511,0.0138047138047138,0.00113250343637604,,0.981566952151317
53,"332",272.9613,2,0.621623232323226,0.0130919872100165,0.00976430976430977,8.4505333969905e-07,,0.999944474355032
54,"332",309.7688,3,26.9618372727273,0.567071661000915,0.00707070707070707,0.00114496026499102,,0.960315599653401
55,"332",317.4629,4,24.1886513131313,0.508400276342533,0.00572390572390572,0.000743989891084963,,0.968665448494491
56,"332",309.9976,5,6.25606535353533,0.131490810024107,0.00572390572390572,4.97675521594189e-05,,0.998140159860334
57,"332",454.1619,6,139.953079393939,2.94354662819632,0.00707070707070707,0.0308500850796344,,0.220787317455881
58,"332",346.8311,7,22.1549934343434,0.466605615102886,0.00976430976430977,0.00107342794990152,,0.975593919021882
59,"332",330.3003,8,-4.84309252525253,-0.102208950206844,0.0138047138047138,7.31159866162149e-05,,0.997984510827618
60,"332",253.8644,9,-91.7462784848485,-1.94152980528554,0.0191919191919192,0.0368801347638674,,0.581149686871901
61,"333",283.8424,0,32.4372951515151,0.686436293434087,0.0191919191919192,0.00461004166525594,,0.940076686104139
62,"333",289.555,1,27.6826091919192,0.58421564521831,0.0138047138047138,0.00238880585947964,,0.956579690258676
63,"333",276.7693,2,4.42962323232322,0.0932921546159538,0.00976430976430977,4.2910465364455e-05,,0.998732516242669
64,"333",299.8097,3,17.0027372727273,0.357608065402894,0.00707070707070707,0.000455333010726552,,0.984041906054167
65,"333",297.171,4,3.8967513131313,0.081902435104292,0.00572390572390572,1.93085253796507e-05,,0.999233772876458
66,"333",338.1665,5,34.4249653535353,0.723548480328805,0.00572390572390572,0.00150692191966883,,0.937790580008585
67,"333",332.0265,6,17.8176793939394,0.374748239405902,0.00707070707070707,0.000500027314631111,,0.984029438070641
68,"333",348.8399,7,24.1637934343434,0.508912888286985,0.00976430976430977,0.00127690879089994,,0.970784081568308
69,"333",333.36,8,-1.78339252525251,-0.0376368357330291,0.0138047138047138,9.91426895933693e-06,,0.999503549129008
70,"333",362.0428,9,16.4321215151515,0.347735670728151,0.0191919191919192,0.0011830493497623,,0.987847172568594
71,"334",265.4731,0,14.0679951515151,0.297706155915521,0.0191919191919192,0.000867121601508723,,0.987748703440641
72,"334",276.2012,1,14.3288091919192,0.302396152372469,0.0138047138047138,0.000640010370733461,,0.987762703591646
73,"334",243.3647,2,-28.9749767676768,-0.610241068106835,0.00976430976430977,0.00183601337553909,,0.95581711468548
74,"334",254.6723,3,-28.1346627272727,-0.591738973982808,0.00707070707070707,0.00124673707696418,,0.957545162620268
75,"334",279.0244,4,-14.2498486868687,-0.299505206654925,0.00572390572390572,0.00025820475276464,,0.988692080317786
76,"334",284.1912,5,-19.5503346464647,-0.410911522440105,0.00572390572390572,0.000486017735804059,,0.978311654760592
77,"334",305.5248,6,-8.68402060606058,-0.182645638701565,0.00707070707070707,0.000118777215339226,,0.995200397511825
78,"334",331.5229,7,6.84679343434343,0.144200099692284,0.00976430976430977,0.000102518938080019,,0.998106932065339
79,"334",335.7469,8,0.603507474747461,0.0127364623149967,0.0138047138047138,1.1353561564279e-06,,0.99997852446914
80,"334",377.299,9,31.6883215151515,0.670586553669294,0.0191919191919192,0.00439960875040121,,0.95079775619632
81,"335",241.6083,0,-9.79680484848484,-0.207319456701892,0.0191919191919192,0.000420517912160755,,0.995701697611787
82,"335",273.9472,1,12.0748091919192,0.254827584858015,0.0138047138047138,0.000454493174835665,,0.99115978740795
83,"335",254.4907,2,-17.8489767676768,-0.375916734451777,0.00976430976430977,0.000696716821826886,,0.983398225667317
84,"335",270.8021,3,-12.0048627272727,-0.252490858763866,0.00707070707070707,0.000226989540343439,,0.99228874216353
85,"335",251.4519,4,-41.8223486868687,-0.879027662784781,0.00572390572390572,0.00222413202556635,,0.905998189131282
86,"335",254.6362,5,-49.1053346464646,-1.03210242609113,0.00572390572390572,0.00306620421690388,,0.870394838488606
87,"335",245.4523,6,-68.7565206060606,-1.44611340652819,0.00707070707070707,0.00744593483814038,,0.753710702595739
88,"335",235.311,7,-89.3651065656565,-1.88211567931069,0.00976430976430977,0.0174648798842072,,0.603703843654668
89,"335",235.7541,8,-99.3892925252525,-2.09751831042651,0.0138047138047138,0.0307925752075032,,0.523101282484537
90,"335",237.2466,9,-108.364078484848,-2.29319479411234,0.0191919191919192,0.0514501055155173,,0.448995591787386
91,"337",312.3666,0,60.9614951515151,1.29006387796954,0.0191919191919192,0.0162827144055583,,0.801580931168405
92,"337",313.8058,1,51.9334091919192,1.09600615856327,0.0138047138047138,0.00840737614953108,,0.854522021933841
93,"337",291.6112,2,19.2715232323232,0.405876940493628,0.00976430976430977,0.000812197659624207,,0.978986068685327
94,"337",346.1222,3,63.3152372727273,1.33167025687937,0.00707070707070707,0.00631404868331646,,0.792129078948031
95,"337",365.7324,4,72.4581513131313,1.52293501915367,0.00572390572390572,0.00667602916247849,,0.734608092084656
96,"337",391.8385,5,88.0969653535354,1.85163368353496,0.00572390572390572,0.00986882899864899,,0.623914566450965
97,"337",404.2601,6,90.0512793939394,1.89399290799938,0.00707070707070707,0.0127723621306529,,0.611100403735162
98,"337",416.6923,7,92.0161934343434,1.93795013589587,0.00976430976430977,0.0185164690831938,,0.598097494179927
99,"337",455.8643,8,120.720907474748,2.54770214623725,0.0138047138047138,0.0454288554564045,,0.371755606272839
100,"337",458.9167,9,113.306021515152,2.39777592642433,0.0191919191919192,0.0562498756300004,,0.433359864014013
101,"349",236.1032,0,-15.3019048484849,-0.323818086483836,0.0191919191919192,0.00102590366094079,,0.988732101881119
102,"349",230.3167,1,-31.5556908080808,-0.665953419995318,0.0138047138047138,0.00310400345881562,,0.948482354207544
103,"349",238.9256,2,-33.4140767676768,-0.703732812626713,0.00976430976430977,0.00244167906757185,,0.941253876590083
104,"349",254.922,3,-27.8849627272727,-0.586487188196861,0.00707070707070707,0.00122470526624284,,0.95829049427899
105,"349",250.7103,4,-42.5639486868687,-0.894614709786899,0.00572390572390572,0.00230370862554024,,0.902732891085695
106,"349",269.7744,5,-33.9671346464646,-0.713925733901993,0.00572390572390572,0.00146710619877539,,0.936392580177547
107,"349",281.5648,6,-32.6440206060606,-0.686581511474065,0.00707070707070707,0.00167841261611703,,0.940171548093795
108,"349",308.102,7,-16.5741065656566,-0.349066733500396,0.00976430976430977,0.000600744635950774,,0.9832612846064
109,"349",336.2806,8,1.13720747474747,0.023999702990447,0.0138047138047138,4.03131025756513e-06,,0.999999526538868
110,"349",351.6451,9,6.03442151515153,0.127700103184653,0.0191919191919192,0.000159546349492302,,0.998876108560573
111,"350",256.2968,0,4.89169515151516,0.10351778940664,0.0191919191919192,0.000104841772270397,,0.998151182811021
112,"350",243.4543,1,-18.4180908080808,-0.388696626482497,0.0138047138047138,0.001057440724649,,0.982825969657419
113,"350",256.2046,2,-16.1350767676767,-0.339820340828605,0.00976430976430977,0.000569340030123293,,0.98648654870055
114,"350",255.5271,3,-27.2798627272727,-0.573760493847336,0.00707070707070707,0.00117213007634769,,0.960070158282105
115,"350",268.9165,4,-24.3577486868687,-0.511954387335494,0.00572390572390572,0.000754428379631737,,0.967426783918061
116,"350",329.7247,5,25.9831653535353,0.546117610071954,0.00572390572390572,0.000858475372252278,,0.964599817957467
117,"350",379.4445,6,65.2356793939394,1.3720617291858,0.00707070707070707,0.00670288592109579,,0.785218629074828
118,"350",362.9184,7,38.2422934343435,0.805419730940475,0.00976430976430977,0.00319828754618473,,0.925458683471079
119,"350",394.4872,8,59.3438074747475,1.25239570205294,0.0138047138047138,0.0109778584457746,,0.823894560719845
120,"350",389.0527,9,43.4420215151515,0.919317720199972,0.0191919191919192,0.00826866958949526,,0.906140712081634
121,"351",250.5265,0,-0.878604848484859,-0.0185929884958054,0.0191919191919192,3.38222718995771e-06,,0.999999882287601
122,"351",300.0576,1,38.1852091919192,0.805863221605759,0.0138047138047138,0.00454524356596267,,0.91922638455661
123,"351",269.8939,2,-2.44577676767679,-0.0515104270496932,0.00976430976430977,1.30816726879312e-05,,0.999768112705782
124,"351",280.5891,3,-2.21786272727276,-0.046646936108422,0.00707070707070707,7.74748552295139e-06,,0.999758675255901
125,"351",271.8274,4,-21.4468486868687,-0.45077270567629,0.00572390572390572,0.000584885294125684,,0.974657486881189
126,"351",304.6336,5,0.892065353535355,0.0187495477272339,0.00572390572390572,1.0118987774448e-06,,0.999987922381528
127,"351",287.7466,6,-26.4622206060606,-0.55656353241292,0.00707070707070707,0.0011029200199815,,0.960097547297686
128,"351",266.5955,7,-58.0806065656566,-1.22323381554728,0.00976430976430977,0.00737720640215105,,0.818508879004759
129,"351",321.5418,8,-13.6015925252525,-0.287048922955446,0.0138047138047138,0.000576695194770424,,0.988009845286703
130,"351",347.5655,9,1.95482151515151,0.0413678276477109,0.0191919191919192,1.67428661799813e-05,,0.99998867508482
131,"352",221.6771,0,-29.7280048484849,-0.629102437921102,0.0191919191919192,0.00387210487670814,,0.955160151189678
132,"352",298.1939,1,36.3215091919192,0.76653157152737,0.0138047138047138,0.0041123927374662,,0.926647584529198
133,"352",326.8785,2,54.5388232323232,1.1486404289273,0.00976430976430977,0.00650490823087767,,0.841876816668881
134,"352",346.8555,3,64.0485372727273,1.34709330260158,0.00707070707070707,0.00646115084506518,,0.787582989781227
135,"352",348.7402,4,55.4659513131313,1.16579070945924,0.00572390572390572,0.00391198029638419,,0.839730971216123
136,"352",352.8287,5,49.0871653535354,1.03172054148638,0.00572390572390572,0.00306393560571014,,0.874718477261201
137,"352",354.4266,6,40.2177793939394,0.845875699493184,0.00707070707070707,0.00254757878583499,,0.916412700907909
138,"352",360.4326,7,35.7564934343434,0.753066375862302,0.00976430976430977,0.00279601496551804,,0.934905533800048
139,"352",375.6406,8,40.4972074747475,0.854655788779682,0.0138047138047138,0.00511230747850451,,0.917482636229538
140,"352",388.5417,9,42.9310215151515,0.90850396571439,0.0191919191919192,0.00807528818674392,,0.908359186604202
141,"369",271.9235,0,20.5183951515151,0.434209173398483,0.0191919191919192,0.00184460067919901,,0.975020104287824
142,"369",268.4369,1,6.56450919191917,0.138537843254244,0.0138047138047138,0.000134329480122061,,0.997152138454893
143,"369",257.2424,2,-15.0972767676768,-0.317963267894288,0.00976430976430977,0.000498456061232648,,0.988203740674148
144,"369",277.6566,3,-5.1503627272727,-0.108324396329846,0.00707070707070707,4.1779869726134e-05,,0.99861533279069
145,"369",314.8222,4,21.5479513131313,0.452897694063012,0.00572390572390572,0.000590412709429241,,0.97513129806071
146,"369",317.2135,5,13.4719653535354,0.283155551748196,0.00572390572390572,0.000230783970582294,,0.990711509293215
147,"369",298.1353,6,-16.0735206060606,-0.338064425506758,0.00707070707070707,0.000406924155927008,,0.984693522676322
148,"369",348.1229,7,23.4467934343435,0.493812173993378,0.00976430976430977,0.00120225491879257,,0.972549425489263
149,"369",340.28,8,5.13660747474745,0.108403309431134,0.0138047138047138,8.2246906336721e-05,,0.999165953544272
150,"369",366.5131,9,20.9024215151515,0.442335918628139,0.0191919191919192,0.00191429466182461,,0.97952485099849
151,"370",225.264,0,-26.1411048484848,-0.553196653255092,0.0191919191919192,0.00299408043577757,,0.965540716591623
152,"370",234.5235,1,-27.3488908080808,-0.57717283001315,0.0138047138047138,0.00233155812630948,,0.961425933733064
153,"370",238.9008,2,-33.4388767676768,-0.704255124641332,0.00976430976430977,0.00244530485156813,,0.941166958530228
154,"370",240.473,3,-42.3339627272727,-0.89038407574652,0.00707070707070707,0.00282272971332701,,0.904937394138847
155,"370",267.5373,4,-25.7369486868687,-0.540942595568127,0.00572390572390572,0.000842282620877023,,0.963692666626971
156,"370",344.1937,5,40.4521653535353,0.850228968046127,0.00572390572390572,0.00208078531455829,,0.914316331348083
157,"370",281.1481,6,-33.0607206060606,-0.695345705054378,0.00707070707070707,0.00172153588339928,,0.938690259889522
158,"370",347.5855,7,22.9093934343435,0.482494009612088,0.00976430976430977,0.00114777518021675,,0.973837254882383
159,"370",365.163,8,30.0196074747475,0.633535814072739,0.0138047138047138,0.00280916229706813,,0.955202183297259
160,"370",372.2288,9,26.6181215151515,0.56329125427048,0.0191919191919192,0.00310434794315891,,0.965804785054013
161,"371",269.8804,0,18.4752951515152,0.390973201207698,0.0191919191919192,0.00149554111080809,,0.979529974240086
162,"371",272.4428,1,10.5704091919192,0.223078626131863,0.0138047138047138,0.000348297543685909,,0.993122302191988
163,"371",277.8989,2,5.55922323232326,0.117082624443094,0.00976430976430977,6.75861760367215e-05,,0.99806849825393
164,"371",281.7895,3,-1.01746272727275,-0.0213996647529918,0.00707070707070707,1.63052876947256e-06,,0.999955651247488
165,"371",279.1705,4,-14.1037486868687,-0.296434457508473,0.00572390572390572,0.000252937282284426,,0.988919697892367
166,"371",284.512,5,-19.2295346464646,-0.404168905560009,0.00572390572390572,0.000470198539073278,,0.978999115929377
167,"371",259.2658,6,-54.9430206060606,-1.15558259774092,0.00707070707070707,0.00475462766094183,,0.837946918723973
168,"371",304.6306,7,-20.0455065656565,-0.422177778965986,0.00976430976430977,0.00087874672467306,,0.976021837533672
169,"371",350.7807,8,15.6373074747475,0.330010788090866,0.0138047138047138,0.000762238294726962,,0.988684941534661
170,"371",369.4692,9,23.8585215151515,0.504892747659111,0.0191919191919192,0.00249403555413829,,0.972856722378388
171,"372",269.4117,0,18.0065951515151,0.381054597044504,0.0191919191919192,0.00142062281804647,,0.98050230294429
172,"372",273.474,1,11.6016091919192,0.24484114024939,0.0138047138047138,0.000419568887385367,,0.991803442188193
173,"372",297.5968,2,25.2571232323232,0.531939472538003,0.00976430976430977,0.00139507454452163,,0.964373875490326
174,"372",310.6316,3,27.8246372727273,0.585218400192405,0.00707070707070707,0.00121941202007442,,0.957774091622248
175,"372",287.1726,4,-6.1016486868687,-0.128245260076368,0.00572390572390572,4.73410759303995e-05,,0.997862709707749
176,"372",329.6076,5,25.8660653535353,0.54365638676566,0.00572390572390572,0.000850754916493156,,0.96492053479023
177,"372",334.4818,6,20.2729793939394,0.426389046935883,0.00707070707070707,0.000647331299810902,,0.979147772775284
178,"372",343.2199,7,18.5437934343434,0.390550246264566,0.00976430976430977,0.00075201553057839,,0.983169970019058
179,"372",369.1417,8,33.9983074747475,0.717502566321967,0.0138047138047138,0.00360314223964202,,0.942160906635699
180,"372",364.1236,9,18.5129215151515,0.391769448289007,0.0191919191919192,0.00150163888344016,,0.984238633400714
