"cluster","comparison","slope_difference"
"308","robust - OLS",7.01885006331953
"309","robust - OLS",8.07610140309352
"310","robust - OLS",-7.4585854172313
"330","robust - OLS",3.36462462140034
"331","robust - OLS",-0.866596211160199
"332","robust - OLS",-3.84408023233126
"333","robust - OLS",4.04519354977892
"334","robust - OLS",11.2805161745561
"335","robust - OLS",6.58997056874645
"337","robust - OLS",1.49328316604729
"349","robust - OLS",7.11817556874644
"350","robust - OLS",6.40790740390934
"351","robust - OLS",-4.8045318741996
"352","robust - OLS",-12.9334173869283
"369","robust - OLS",7.59117253844341
"370","robust - OLS",-4.93469682518
"371","robust - OLS",-4.76516603323611
"372","robust - OLS",-7.16928014526982
"308","robustbase - OLS",3.78389090589371
"309","robustbase - OLS",7.74885294983002
"310","robustbase - OLS",-7.39367119649833
"330","robustbase - OLS",3.3266118375465
"331","robustbase - OLS",-1.03999834595764
"332","robustbase - OLS",-8.44932039021337
"333","robustbase - OLS",4.06283250817034
"334","robustbase - OLS",3.65200085540704
"335","robustbase - OLS",6.57382544784693
"337","robustbase - OLS",2.309250622271
"349","robustbase - OLS",7.07144497388388
"350","robustbase - OLS",5.30201000858524
"351","robustbase - OLS",-4.58294052716841
"352","robustbase - OLS",-13.0767655239685
"369","robustbase - OLS",7.59154469185597
"370","robustbase - OLS",-4.91351430860038
"371","robustbase - OLS",5.71975439901702
"372","robustbase - OLS",-7.02921611462891
