"dataset","cluster_index","omitted_cluster","status","elapsed_sec","error"
"perturbed",1,"308","complete",10.4112160205841,
"perturbed",2,"309","complete",12.2399990558624,
"perturbed",3,"310","complete",14.9512279033661,
"perturbed",4,"330","complete",12.678808927536,
"perturbed",5,"331","complete",11.8705348968506,
"perturbed",6,"332","complete",11.7945899963379,
"perturbed",7,"333","complete",12.7277879714966,
"perturbed",8,"334","complete",11.3731961250305,
"perturbed",9,"335","complete",9.15004992485046,
"perturbed",10,"337","complete",11.1011409759521,
"perturbed",11,"349","complete",11.46799492836,
"perturbed",12,"350","complete",11.55526304245,
"perturbed",13,"351","complete",9.74861311912537,
"perturbed",14,"352","complete",12.6946079730988,
"perturbed",15,"369","complete",11.6258380413055,
"perturbed",16,"370","complete",12.1822600364685,
"perturbed",17,"371","complete",11.5314691066742,
"perturbed",18,"372","complete",11.628497838974,
