"check","passed","details"
"old_and_corrected_result_directories_exist",TRUE,
"old_completion_marker_exists",TRUE,
"corrected_completion_marker_exists",TRUE,
"original_checksum_record_exists",TRUE,
"original_study3_outputs_still_match_archived_checksums",TRUE,
"execution_metadata__analysis_seed",TRUE,"old = 20261101 ; new = 20261101"
"execution_metadata__method_count",TRUE,"old = 9 ; new = 9"
"execution_metadata__methods",TRUE,"old = rs,ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase,robust_ri,robust_rs ; new = rs,ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase,robust_ri,robust_rs"
"execution_metadata__alpha",TRUE,"old = 0.05 ; new = 0.05"
"execution_metadata__observed_input_md5",TRUE,"old = 8edd9d547383f4f8f1786885e8a43f03 ; new = 8edd9d547383f4f8f1786885e8a43f03"
"execution_metadata__perturbed_input_md5",TRUE,"old = 74e07a828870a2d2282f71c24f099a52 ; new = 74e07a828870a2d2282f71c24f099a52"
"execution_metadata__observed_subjects",TRUE,"old = 18 ; new = 18"
"execution_metadata__perturbed_subjects",TRUE,"old = 18 ; new = 18"
"execution_metadata__observed_loo_rows",TRUE,"old = 162 ; new = 162"
"execution_metadata__perturbed_loo_rows",TRUE,"old = 162 ; new = 162"
"execution_metadata__contaminated_observations",TRUE,"old = 18 ; new = 18"
"execution_metadata__comparative_analysis_complete",TRUE,"old = TRUE ; new = TRUE"
"observed_full__row_count",TRUE,"old = 9 ; new = 9"
"observed_full__column_set",TRUE,"old columns = 28 ; new columns = 28"
"observed_full__method",TRUE,
"observed_full__estimate",TRUE,
"observed_full__std_error",TRUE,
"observed_full__df",TRUE,
"observed_full__p_value",TRUE,
"observed_full__conf_low",TRUE,
"observed_full__conf_high",TRUE,
"observed_full__fit_success",TRUE,
"observed_full__converged",TRUE,
"observed_full__singular",TRUE,
"observed_full__retained_clusters",TRUE,
"observed_full__estimated_random_intercept_sd",TRUE,
"observed_full__estimated_random_slope_sd",TRUE,
"observed_full__optimizer_warning",TRUE,
"observed_full__optimizer_code",TRUE,
"observed_full__error",TRUE,
"observed_full__template_warning",TRUE,
"observed_full__template_error",TRUE,
"observed_full__cluster_warning_count",TRUE,
"observed_full__cluster_error_count",TRUE,
"observed_full__dropped_cluster_count",TRUE,
"observed_full__cluster_warning_ids",TRUE,
"observed_full__cluster_error_ids",TRUE,
"observed_full__dropped_cluster_ids",TRUE,
"observed_full__method_order",TRUE,
"observed_full__method_label",TRUE,
"observed_full__warning__allowed_warning_change",TRUE,
"perturbed_full__row_count",TRUE,"old = 9 ; new = 9"
"perturbed_full__column_set",TRUE,"old columns = 28 ; new columns = 28"
"perturbed_full__method",TRUE,
"perturbed_full__estimate",TRUE,
"perturbed_full__std_error",TRUE,
"perturbed_full__df",TRUE,
"perturbed_full__p_value",TRUE,
"perturbed_full__conf_low",TRUE,
"perturbed_full__conf_high",TRUE,
"perturbed_full__fit_success",TRUE,
"perturbed_full__converged",TRUE,
"perturbed_full__singular",TRUE,
"perturbed_full__retained_clusters",TRUE,
"perturbed_full__estimated_random_intercept_sd",TRUE,
"perturbed_full__estimated_random_slope_sd",TRUE,
"perturbed_full__optimizer_warning",TRUE,
"perturbed_full__optimizer_code",TRUE,
"perturbed_full__error",TRUE,
"perturbed_full__template_warning",TRUE,
"perturbed_full__template_error",TRUE,
"perturbed_full__cluster_warning_count",TRUE,
"perturbed_full__cluster_error_count",TRUE,
"perturbed_full__dropped_cluster_count",TRUE,
"perturbed_full__cluster_warning_ids",TRUE,
"perturbed_full__cluster_error_ids",TRUE,
"perturbed_full__dropped_cluster_ids",TRUE,
"perturbed_full__method_order",TRUE,
"perturbed_full__method_label",TRUE,
"perturbed_full__warning__allowed_warning_change",TRUE,
"observed_robustbase_real_warning_preserved",TRUE,
"perturbed_robustbase_real_warning_preserved",TRUE,
"no_full_data_phantom_cluster_warning",TRUE,
"observed_vs_perturbed__row_count",TRUE,"old = 9 ; new = 9"
"observed_vs_perturbed__column_set",TRUE,"old columns = 58 ; new columns = 58"
"observed_vs_perturbed__method",TRUE,
"observed_vs_perturbed__method_label",TRUE,
"observed_vs_perturbed__method_order",TRUE,
"observed_vs_perturbed__observed_estimate",TRUE,
"observed_vs_perturbed__observed_std_error",TRUE,
"observed_vs_perturbed__observed_df",TRUE,
"observed_vs_perturbed__observed_p_value",TRUE,
"observed_vs_perturbed__observed_conf_low",TRUE,
"observed_vs_perturbed__observed_conf_high",TRUE,
"observed_vs_perturbed__observed_fit_success",TRUE,
"observed_vs_perturbed__observed_converged",TRUE,
"observed_vs_perturbed__observed_singular",TRUE,
"observed_vs_perturbed__observed_retained_clusters",TRUE,
