"Reaction","Days","Subject","Reaction_observed","contaminated","contamination_sign","signed_displacement","absolute_displacement"
249.56,0,"308",249.56,FALSE,0,0,0
258.7047,1,"308",258.7047,FALSE,0,0,0
250.8006,2,"308",250.8006,FALSE,0,0,0
321.4398,3,"308",321.4398,FALSE,0,0,0
356.8519,4,"308",356.8519,FALSE,0,0,0
414.6901,5,"308",414.6901,FALSE,0,0,0
228.652906239649,6,"308",382.2038,TRUE,-1,-153.550893760351,153.550893760351
290.1486,7,"308",290.1486,FALSE,0,0,0
430.5853,8,"308",430.5853,FALSE,0,0,0
466.3535,9,"308",466.3535,FALSE,0,0,0
222.7339,0,"309",222.7339,FALSE,0,0,0
205.2658,1,"309",205.2658,FALSE,0,0,0
202.9778,2,"309",202.9778,FALSE,0,0,0
204.707,3,"309",204.707,FALSE,0,0,0
207.7161,4,"309",207.7161,FALSE,0,0,0
215.9618,5,"309",215.9618,FALSE,0,0,0
213.6303,6,"309",213.6303,FALSE,0,0,0
217.7272,7,"309",217.7272,FALSE,0,0,0
70.7448062396485,8,"309",224.2957,TRUE,-1,-153.550893760351,153.550893760351
237.3142,9,"309",237.3142,FALSE,0,0,0
199.0539,0,"310",199.0539,FALSE,0,0,0
194.3322,1,"310",194.3322,FALSE,0,0,0
234.32,2,"310",234.32,FALSE,0,0,0
232.8416,3,"310",232.8416,FALSE,0,0,0
229.3074,4,"310",229.3074,FALSE,0,0,0
220.4579,5,"310",220.4579,FALSE,0,0,0
235.4208,6,"310",235.4208,FALSE,0,0,0
255.7511,7,"310",255.7511,FALSE,0,0,0
261.0125,8,"310",261.0125,FALSE,0,0,0
401.066193760351,9,"310",247.5153,TRUE,1,153.550893760351,153.550893760351
321.5426,0,"330",321.5426,FALSE,0,0,0
300.4002,1,"330",300.4002,FALSE,0,0,0
283.8565,2,"330",283.8565,FALSE,0,0,0
285.133,3,"330",285.133,FALSE,0,0,0
285.7973,4,"330",285.7973,FALSE,0,0,0
297.5855,5,"330",297.5855,FALSE,0,0,0
126.688706239648,6,"330",280.2396,TRUE,-1,-153.550893760351,153.550893760351
318.2613,7,"330",318.2613,FALSE,0,0,0
305.3495,8,"330",305.3495,FALSE,0,0,0
354.0487,9,"330",354.0487,FALSE,0,0,0
287.6079,0,"331",287.6079,FALSE,0,0,0
285,1,"331",285,FALSE,0,0,0
301.8206,2,"331",301.8206,FALSE,0,0,0
320.1153,3,"331",320.1153,FALSE,0,0,0
162.726406239649,4,"331",316.2773,TRUE,-1,-153.550893760351,153.550893760351
293.3187,5,"331",293.3187,FALSE,0,0,0
290.075,6,"331",290.075,FALSE,0,0,0
334.8177,7,"331",334.8177,FALSE,0,0,0
293.7469,8,"331",293.7469,FALSE,0,0,0
371.5811,9,"331",371.5811,FALSE,0,0,0
234.8606,0,"332",234.8606,FALSE,0,0,0
89.2609062396485,1,"332",242.8118,TRUE,-1,-153.550893760351,153.550893760351
272.9613,2,"332",272.9613,FALSE,0,0,0
309.7688,3,"332",309.7688,FALSE,0,0,0
317.4629,4,"332",317.4629,FALSE,0,0,0
309.9976,5,"332",309.9976,FALSE,0,0,0
454.1619,6,"332",454.1619,FALSE,0,0,0
346.8311,7,"332",346.8311,FALSE,0,0,0
330.3003,8,"332",330.3003,FALSE,0,0,0
253.8644,9,"332",253.8644,FALSE,0,0,0
283.8424,0,"333",283.8424,FALSE,0,0,0
